TemplateId	HeadIconId	BubbleIocnId	Condition	FixedTiem	IconName	GetDesc	RuleDesc	IsIosShenhe
1	10001	20001			<i18n=13337>			
2	10002	20002	 		<i18n=13021>	<i18n=9215>		
3	10003	20003	CheckKin		<i18n=677>	<i18n=14110>		
4	10004	20004	CheckDongtian		<i18n=6187>	<i18n=738>		
5	10005	20005	CheckFactionTop1		<i18n=9926>	<i18n=4099>		
6	10006	20006	CheckEndTime	30	<i18n=14718>	<i18n=2744>		
7	10007	20007			<i18n=4918>	<i18n=2635>		
8	10008	20008			<i18n=3506>	<i18n=8216>		
9	10009	20009			<i18n=16416>	<i18n=2567>		
10	10010	20010			<i18n=1770>	<i18n=7434>		
11	10011	20011			<i18n=15474>	<i18n=12272>		
12	10012	20012	 		<i18n=11696>	<i18n=2180>		
13	10013	20013	 		<i18n=11093>	<i18n=14187>		
14	10014	20014	 		<i18n=4315>	<i18n=4091>		1
15	10015	20015	 		<i18n=5917>	<i18n=9473>		1
16	10016	20016	 		<i18n=8646>	<i18n=2808>		1
17	10017	20017	 		<i18n=10874>	<i18n=10034>		
