Id	Name	Atlas	AniPrefix
1	<i18n=摆摊>	UIAtlas/XJEmotion_Big01.prefab	baitan
2	<i18n=10470>	UIAtlas/XJEmotion_Big01.prefab	chizhuzhu
3	<i18n=14894>	UIAtlas/XJEmotion_Big01.prefab	cry
4	<i18n=2196>	UIAtlas/XJEmotion_Big01.prefab	datui
5	<i18n=3593>	UIAtlas/XJEmotion_Big01.prefab	fun
6	<i18n=15407>	UIAtlas/XJEmotion_Big01.prefab	hi
7	<i18n=7166>	UIAtlas/XJEmotion_Big01.prefab	laugh
8	<i18n=849>	UIAtlas/XJEmotion_Big01.prefab	muddled
9	<i18n=8078>	UIAtlas/XJEmotion_Big01.prefab	nan1_bixin
10	<i18n=14392>	UIAtlas/XJEmotion_Big01.prefab	nan1_letsgo
11	<i18n=4978>	UIAtlas/XJEmotion_Big01.prefab	nan2_fue
12	<i18n=1621>	UIAtlas/XJEmotion_Big01.prefab	nan2_lbx
13	<i18n=10578>	UIAtlas/XJEmotion_Big01.prefab	nan3_bishi
14	<i18n=604>	UIAtlas/XJEmotion_Big01.prefab	nan3_eat
15	<i18n=8288>	UIAtlas/XJEmotion_Big01.prefab	nan3_qhb
16	<i18n=4601>	UIAtlas/XJEmotion_Big01.prefab	nan4_leipi
17	<i18n=4974>	UIAtlas/XJEmotion_Big01.prefab	nan4_out
18	<i18n=1284>	UIAtlas/XJEmotion_Big01.prefab	nan5_guilian
19	<i18n=10875>	UIAtlas/XJEmotion_Big01.prefab	nan5_team
20	<i18n=12100>	UIAtlas/XJEmotion_Big01.prefab	nan6_dajie
21	<i18n=719>	UIAtlas/XJEmotion_Big01.prefab	nan6_kanjian
22	<i18n=7151>	UIAtlas/XJEmotion_Big01.prefab	nan6_laobanshuai
23	OK	UIAtlas/XJEmotion_Big01.prefab	nan7_OK
24	<i18n=15079>	UIAtlas/XJEmotion_Big01.prefab	nan7_thanksboss
25	<i18n=11444>	UIAtlas/XJEmotion_Big01.prefab	nv2_bixin
26	<i18n=11402>	UIAtlas/XJEmotion_Big01.prefab	nv2_confuse
27	<i18n=1509>	UIAtlas/XJEmotion_Big02.prefab	observe
28	<i18n=13077>	UIAtlas/XJEmotion_Big02.prefab	proud
29	<i18n=7479>	UIAtlas/XJEmotion_Big02.prefab	qingke
30	<i18n=15462>	UIAtlas/XJEmotion_Big02.prefab	run
31	<i18n=6280>	UIAtlas/XJEmotion_Big02.prefab	sad
32	<i18n=11078>	UIAtlas/XJEmotion_Big02.prefab	sahua
33	<i18n=731>	UIAtlas/XJEmotion_Big02.prefab	silent
34	<i18n=13948>	UIAtlas/XJEmotion_Big02.prefab	sit
35	<i18n=2902>	UIAtlas/XJEmotion_Big02.prefab	sleep
36	<i18n=13312>	UIAtlas/XJEmotion_Big02.prefab	sorry
37	<i18n=13451>	UIAtlas/XJEmotion_Big02.prefab	surprise
