nTemplateId	_szName	nSortOrder	bShow	szPrefixType	szDesc	szGainWay
3001	<i18n=19467>	1	1	ChatPrefix|1	<i18n=19467>	<i18n=66415>
3002	<i18n=帮主>	2	1	TongCareer|Career_Master	<i18n=帮主>	<i18n=6704>
3003	<i18n=11344>	3	1	TongCareer|Career_ViceMaster	<i18n=11344>	<i18n=67701>
3004	<i18n=627>	4	1	TongCareer|Career_Leader	<i18n=627>	<i18n=67702>
3005	<i18n=族长>	5	1	KinCareer|Career_Master	<i18n=族长>	<i18n=67706>
3006	<i18n=副族长>	6	1	KinCareer|Career_ViceMaster	<i18n=副族长>	<i18n=67719>
3007	<i18n=2346>	7	1	TongCareer|Career_Elder	<i18n=2346>	<i18n=67712>
3008	<i18n=67707>	8	1	TongCareer|Career_Command	<i18n=指挥>	<i18n=67711>
3009	<i18n=家族指挥>	9	1	KinCareer|Career_Command	<i18n=指挥>	<i18n=67718>
3010	<i18n=677>	10	1	TongCareer|Career_Mascot	<i18n=677>	<i18n=67715>
3011	<i18n=家族宝贝>	11	1	KinCareer|Career_Mascot	<i18n=家族宝贝>	<i18n=67716>
