ColorID	Red	Green	Blue	Alpha	Hex
1	51	153	51	255	339933
2	0	150	255	255	0096FF
3	255	100	21	255	FF6415
4	215	90	255	255	D75AFF
5	0	0	0	255	000000
100	255	146	255	255	FF92FF
101	255	168	94	255	FFA85E
102	85	255	145	255	55FF91
200	255	255	255	255	FFFFFF
201	94	255	81	255	5EFF51
202	29	122	0	255	1D7A00
203	29	122	0	255	1D7A00
204	203	255	251	255	CBFFFB
205	79	211	255	255	4FD3FF
206	0	115	229	255	0073E5
207	255	240	249	255	FFF0F9
208	220	141	255	255	DC8DFF
209	178	0	255	255	B200FF
210	255	255	255	255	FFFFFF
211	255	135	170	255	FF87AA
212	221	0	105	255	DD0069
213	255	255	255	255	FFFFFF
214	255	140	88	255	FF8C58
215	255	143	6	255	FF8F06
216	255	255	253	255	FFFFFD
217	255	206	2	255	FFCE02
218	255	206	2	255	FFCE02
219	0	0	0	255	000000
220	225	214	122	255	E1D67A
221	58	25	11	255	3A190B
222	250	245	185	255	FAF5B9
223	110	210	248	255	6ED2F8
224	33	123	210	255	217BD2
225	249	193	21	255	F9C115
298	255	146	255	255	F9C116
299	85	255	145	255	55FF91
300	100	125	255	255	647DFF
301	215	90	255	255	D75AFF
302	255	255	0	255	FFFF00
303	255	181	0	255	FFB500
304	43	201	44	255	2BC92C
305	215	90	255	255	D75AFF
306	92	196	202	255	5CC4CA
400	0	0	0	0	000000
401	101	101	101	14	656565
402	207	207	207	255	CFCFCF
403	70	59	84	156	463B54
404	49	156	68	60	319C44
405	57	255	71	255	39FF47
406	20	77	37	156	144D25
407	75	174	238	60	4BAEEE
408	117	241	255	255	75F1FF
409	12	31	48	156	0C1F30
410	141	37	226	43	8D25E2
411	175	107	255	255	AF6BFF
412	24	0	58	156	18003A
413	255	65	25	42	FF4119
414	255	226	71	255	FFE247
415	168	6	0	156	A80600
416	255	203	73	43	FFCB49
417	255	226	71	255	FFE247
418	147	95	0	156	935F00
419	255	25	97	43	FF1961
420	166	2	0	10	A60200
421	224	12	0	156	E00C00
422	255	162	71	255	FFA247
423	253	193	49	255	FDC131
424	255	112	64	255	FF7040
425	173	173	173	255	ADADAD
426	156	255	155	255	9CFF9B
427	90	250	255	255	5AFAFF
428	89	35	209	255	5923D1
429	200	106	24	255	C86A18
430	226	160	14	255	E2A00E
431	253	129	35	255	FD8123
432	58	185	73	255	3ab949
433	98	179	206	255	62b3ce
434	255	241	0	255	FFF100
435	0	135	9	255	008709
436	166	236	0	255	A6EC00
437	206	255	66	255	CEFF42
438	252	243	103	255	fcf367
439	29	82	203	255	1d52cb
440	117	215	255	255	75D7FF
441	242	253	89	255	F2FD59
442	255	233	0	255	FFE900
443	144	35	255	255	9023FF
444	255	153	178	255	FF99B2
445	241	114	38	255	F17226
446	255	245	153	255	FFF599
447	255	8	25	255	FF0819
448	240	255	215	255	F0FFD7
449	26	111	46	128	1A6F2E
450	255	255	255	255	FFFFFF
451	138	217	162	255	8AD9A2
452	226	255	218	255	E2FFDA
453	134	207	151	255	86CF97
454	180	221	170	255	B4DDAA
455	50	125	68	181	327D44
456	215	255	242	255	D7FFF2
457	26	110	111	128	1A6E6F
458	138	215	217	255	8AD7D9
459	215	255	242	255	D7FFF2
460	134	201	207	255	86C9CF
461	138	215	217	255	8AD7D9
462	26	110	111	181	1A6E6F
463	250	235	255	255	FAEBFF
464	99	65	152	128	634198
465	187	150	217	255	BB96D9
466	250	235	255	255	FAEBFF
467	180	134	207	255	B486CF
468	187	150	217	255	BB96D9
469	61	30	111	181	3D1E6F
470	255	227	255	255	FFE3FF
471	121	42	132	128	792A84
472	229	152	211	255	E598D3
473	255	227	255	255	FFE3FF
474	207	134	186	255	CF86BA
475	229	152	211	255	E598D3
476	90	31	99	181	5A1F63
477	255	227	232	255	FFE3E8
478	132	45	42	128	842D2A
479	229	152	167	255	E598A7
480	255	227	232	255	FFE3E8
481	253	99	139	255	FD638B
482	221	114	135	255	DD7287
483	132	45	42	181	842D2A
484	255	239	0	255	FFEF00
485	65	50	22	255	413216
486	255	237	40	255	FFED28
487	207	191	28	255	CFBF1C
488	224	121	0	255	E07900
489	60	60	60	255	3C3C3C
490	255	154	35	255	FF9A23
491	255	95	0	255	FF5F00
500	84	171	77	255	54AB4D
501	197	181	5	255	C5B505
502	197	109	5	255	C56D05
503	109	5	197	255	6D05C5
504	5	127	197	255	057FC5
505	197	5	5	255	C50505
506	147	147	146	255	939392
507	197	5	172	255	C505AC
508	107	135	144	255	6B8790
600	255	250	230	255	FFFAE6
601	12	58	61	255	0C3A3D
602	77	64	52	255	4D4034
