nStage	nServerMaxLevel	nBossLevel	nMonsterLevel	nFriendLevel
1	39	30	30	30
1	49	40	40	40
1	59	50	50	50
1	69	60	60	60
1	79	89	89	89
1	89	99	99	99
1	99	109	109	109
1	109	119	119	119
1	119	129	129	129
1	129	139	139	139
1	139	149	149	149
1	149	159	159	159
1	159	169	169	169
1	169	179	179	179
1	179	189	189	189
1	189	199	199	199
1	199	199	199	199
1	209	209	209	209
1	219	219	219	219
1	229	229	229	229
1	239	239	239	239
1	249	249	249	249
1	259	259	259	259
1	269	269	269	269
1	279	279	279	279
1	289	289	289	289
1	299	299	299	299
1	309	309	309	309
1	319	319	319	319
1	329	329	329	329
1	339	339	339	339
1	349	349	349	349
1	359	359	359	359
1	369	369	369	369
1	379	379	379	379
1	389	389	389	389
1	399	399	399	399
2	39	30	30	30
2	49	40	40	40
2	59	50	50	50
2	69	60	60	60
2	79	89	89	89
2	89	99	99	99
2	99	109	109	109
2	109	119	119	119
2	119	129	129	129
2	129	139	139	139
2	139	149	149	149
2	149	159	159	159
2	159	169	169	169
2	169	179	179	179
2	179	189	189	189
2	189	199	199	199
2	199	199	199	199
2	209	209	209	209
2	219	219	219	219
2	229	229	229	229
2	239	239	239	239
2	249	249	249	249
2	259	259	259	259
2	269	269	269	269
2	279	279	279	279
2	289	289	289	289
2	299	299	299	299
2	309	309	309	309
2	319	319	319	319
2	329	329	329	329
2	339	339	339	339
2	349	349	349	349
2	359	359	359	359
2	369	369	369	369
2	379	379	379	379
2	389	389	389	389
2	399	399	399	399
3	39	30	30	30
3	49	40	40	40
3	59	50	50	50
3	69	60	60	60
3	79	89	89	89
3	89	99	99	99
3	99	109	109	109
3	109	119	119	119
3	119	129	129	129
3	129	139	139	139
3	139	149	149	149
3	149	159	159	159
3	159	169	169	169
3	169	179	179	179
3	179	189	189	189
3	189	199	199	199
3	199	199	199	199
3	209	209	209	209
3	219	219	219	219
3	229	229	229	229
3	239	239	239	239
3	249	249	249	249
3	259	259	259	259
3	269	269	269	269
3	279	279	279	279
3	289	289	289	289
3	299	299	299	299
3	309	309	309	309
3	319	319	319	319
3	329	329	329	329
3	339	339	339	339
3	349	349	349	349
3	359	359	359	359
3	369	369	369	369
3	379	379	379	379
3	389	389	389	389
3	399	399	399	399
4	39	30	30	30
4	49	40	40	40
4	59	50	50	50
4	69	60	60	60
4	79	89	89	89
4	89	99	99	99
4	99	109	109	109
4	109	119	119	119
4	119	129	129	129
4	129	139	139	139
4	139	149	149	149
4	149	159	159	159
4	159	169	169	169
4	169	179	179	179
4	179	189	189	189
4	189	199	199	199
4	199	199	199	199
4	209	209	209	209
4	219	219	219	219
4	229	229	229	229
4	239	239	239	239
4	249	249	249	249
4	259	259	259	259
4	269	269	269	269
4	279	279	279	279
4	289	289	289	289
4	299	299	299	299
4	309	309	309	309
4	319	319	319	319
4	329	329	329	329
4	339	339	339	339
4	349	349	349	349
4	359	359	359	359
4	369	369	369	369
4	379	379	379	379
4	389	389	389	389
4	399	399	399	399
5	39	30	30	30
5	49	40	40	40
5	59	50	50	50
5	69	60	60	60
5	79	89	89	89
5	89	99	99	99
5	99	109	109	109
5	109	119	119	119
5	119	129	129	129
5	129	139	139	139
5	139	149	149	149
5	149	159	159	159
5	159	169	169	169
5	169	179	179	179
5	179	189	189	189
5	189	199	199	199
5	199	199	199	199
5	209	209	209	209
5	219	219	219	219
5	229	229	229	229
5	239	239	239	239
5	249	249	249	249
5	259	259	259	259
5	269	269	269	269
5	279	279	279	279
5	289	289	289	289
5	299	299	299	299
5	309	309	309	309
5	319	319	319	319
5	329	329	329	329
5	339	339	339	339
5	349	349	349	349
5	359	359	359	359
5	369	369	369	369
5	379	379	379	379
5	389	389	389	389
5	399	399	399	399
6	39	30	30	30
6	49	40	40	40
6	59	50	50	50
6	69	60	60	60
6	79	89	89	89
6	89	99	99	99
6	99	109	109	109
6	109	119	119	119
6	119	129	129	129
6	129	139	139	139
6	139	149	149	149
6	149	159	159	159
6	159	169	169	169
6	169	179	179	179
6	179	189	189	189
6	189	199	199	199
6	199	199	199	199
6	209	209	209	209
6	219	219	219	219
6	229	229	229	229
6	239	239	239	239
6	249	249	249	249
6	259	259	259	259
6	269	269	269	269
6	279	279	279	279
6	289	289	289	289
6	299	299	299	299
6	309	309	309	309
6	319	319	319	319
6	329	329	329	329
6	339	339	339	339
6	349	349	349	349
6	359	359	359	359
6	369	369	369	369
6	379	379	379	379
6	389	389	389	389
6	399	399	399	399
