nId	nTemplateID	nResID	nMapID	nPosX	nPosY	szName	nDirect	nTitleId
1	11072	7003	9	53887	69915	<i18n=2713>	160	2001
2	11073	7002	10	40325	48142	<i18n=12036>	160	2002
3	11074	7006	96	33506	54578	<i18n=5259>	160	2003
4	11075	7004	94	13642	84935	<i18n=15889>	200	2004
5	11076	7007	287	38480	52202	<i18n=14789>	160	2005
6	11077	7008	99	21180	96257	<i18n=5764>	0	2006
7	11078	7011	100	43292	62370	<i18n=5755>	160	2007
8	11079	7010	11	64481	80836	<i18n=12563>	160	2008
9	11080	7013	16	32249	71391	<i18n=7626>	160	2009
10	11081	7012	101	16641	80496	<i18n=6656>	200	2010
11	11082	7005	98	36466	57051	<i18n=1904>	160	2011
12	11083	7009	97	55194	77818	<i18n=14071>	160	2012
13	12299	9061	314	15981	49020	<i18n=28634>	200	2035
14	12413	9279	327	27325	33762	<i18n=36984>	160	2038
15	13160	9062	338	14479	68477	<i18n=43721>	160	5553
16	13388	9288	351	40982	85009	<i18n=50604>	200	7015
17	13459	12	359	43583	122564	<i18n=58394>	200	7034
18	9304	7197	382	16933	93557	<i18n=68421>	260	7051
19	9315	9019	393	50078	71510	<i18n=77542>	200	7064
20	9324	7197	401	47709	61826	<i18n=84423>	260	7088
