nLevel	nMaxLevelExp	nTemplateId	nRenownTemplateId
49	300000	20352	326
59	420000	20353	326
69	660000	20354	326
79	660000	20355	326
89	780000	20356	326
99	840000	20357	326
109	900000	20358	326
119	1080000	20359	326
129	1320000	20360	326
139	1440000	20361	326
149	1440000	20362	326
159	1440000	20363	326
169	1440000	20364	326
179	1440000	20365	326
189	1440000	20366	326
199	1440000	20367	326
209	1440000	673415	326
219	1440000	673416	326
229	1440000	673417	326
239	1440000	673418	326
249	1440000	673419	326
259	1440000	673420	326
269	1440000	673421	326
279	1440000	673422	326
289	1440000	673423	326
299	1440000	673424	326
309	1440000	673425	326
319	1440000	673426	326
329	1440000	673427	326
339	1440000	673428	326
349	1440000	673429	326
359	1440000	673430	326
369	1440000	673431	326
379	1440000	673432	326
389	1440000	673433	326
399	1440000	673434	326
