nFaction	nSect	szSect	nSectType	szDesc
1	0	<i18n=16223>	1	<i18n=17742>
1	1	<i18n=5628>	1	<i18n=17742>
2	0	<i18n=6691>	1	<i18n=17742>
2	1	<i18n=2272>	1	<i18n=17742>
3	0	<i18n=10266>	1	<i18n=17744>
3	1	<i18n=1969>	1	<i18n=17744>
4	0	<i18n=13034>	1	<i18n=17744>
4	1	<i18n=10315>	0	<i18n=17738>
5	0	<i18n=9242>	0	<i18n=17739>
5	1	<i18n=10407>	0	<i18n=17739>
6	0	<i18n=5073>	0	<i18n=17739>
6	1	<i18n=1834>	1	<i18n=17737>
7	0	<i18n=2139>	0	<i18n=10405>
7	1	<i18n=8407>	1	<i18n=17740>
8	0	<i18n=8498>	1	<i18n=17740>
8	1	<i18n=945>	0	<i18n=10405>
9	0	<i18n=11683>	0	<i18n=土系内功>
9	1	<i18n=2898>	1	<i18n=17741>
10	0	<i18n=3533>	1	<i18n=17741>
10	1	<i18n=9488>	0	<i18n=土系内功>
11	0	<i18n=98>	1	<i18n=17744>
11	1	<i18n=2386>	0	<i18n=17738>
12	0	<i18n=2391>	1	<i18n=17737>
12	1	<i18n=5333>	0	<i18n=17739>
13	0	<i18n=26224>	1	<i18n=17741>
13	1	<i18n=26226>	0	<i18n=土系内功>
14	0	<i18n=35721>	0	<i18n=35717>
14	1	<i18n=35743>	1	<i18n=17742>
15	0	<i18n=42746>	0	<i18n=10405>
15	1	<i18n=42780>	1	<i18n=17740>
16	0	<i18n=49171>	1	<i18n=17744>
16	1	<i18n=49191>	0	<i18n=17738>
17	0	<i18n=49247>	0	<i18n=17739>
17	1	<i18n=49190>	1	<i18n=17737>
18	0	<i18n=66691>	0	<i18n=土系内功>
18	1	<i18n=66728>	1	<i18n=17741>
19	0	<i18n=21423>	0	<i18n=35717>
19	1	<i18n=76798>	1	<i18n=17742>
20	0	<i18n=84274>	0	<i18n=10405>
20	1	<i18n=84281>	1	<i18n=17740>
21	0	<i18n=84280>	0	<i18n=17739>
21	1	<i18n=84279>	1	<i18n=17737>
