GROUP	X	Y
1	13047	33967
1	12119	34960
1	15711	36783
1	16767	37760
1	17832	38735
1	18600	39423
1	19360	40239
1	20344	41264
1	21408	42176
1	22447	43344
2	40248	32527
2	41032	31535
2	36016	29744
2	35095	28783
2	34255	27935
2	33351	27072
2	32383	26239
2	31464	25167
3	24055	22927
3	23160	23808
3	21416	25632
3	20496	26704
3	19567	27423
4	27610	44702
4	28672	44160
4	30944	41823
4	31823	40751
4	33064	39792
5	28944	37935
5	27664	38911
5	25047	47407
5	25888	46639
5	26823	45567
6	33879	38735
6	34792	37744
6	37304	35344
6	38207	34464
6	39383	33327
7	30535	24239
7	29751	23232
7	26976	19775
7	25951	20991
7	24927	21903
8	18696	28367
8	17863	29295
8	16200	30879
8	15288	31807
8	14111	32864
9	24344	28154
9	23560	29520
9	22416	30688
9	21439	31760
9	26872	28976
9	28167	28320
9	29807	29407
9	30520	31135
9	30911	33167
9	30800	35520
9	29983	36895
