ARENA_ID	X1	Y1	Z1	X2	Y2	Z2
1	41995	66020	0	42794	65086	0
1	43181	67447	0	44182	66082	0
1	44031	68464	0	45021	67272	0
1	45290	69590	0	46474	68312	0
1	46269	70565	0	47453	69308	0
1	44049	63763	0	44350	65499	0
1	45491	64221	0	45674	66560	0
1	46815	65368	0	47181	67707	0
1	48074	68259	0	48870	67433	0
1	46188	62443	0	46941	63339	0
1	47996	64494	0	49040	65713	0
1	49890	65156	0	50212	64190	0
1	47434	60083	0	48112	61001	0
1	49145	62716	0	50124	63397	0
2	47985	71781	0	48769	72527	0
2	49759	73466	0	50458	74427	0
2	51545	73515	0	50705	72710	0
2	50020	71834	0	49152	71190	0
2	48501	70681	0	47755	69897	0
2	46913	68820	0	89442	81465	0
2	49554	69510	0	50185	68964	0
2	50913	69805	0	52010	70619	0
2	49072	58847	0	49738	59699	0
2	50795	60614	0	51652	61319	0
2	50001	58031	0	50835	58717	0
2	51970	59478	0	53115	60281	0
2	51312	57109	0	52240	57663	0
2	53258	58965	0	51737	56289	0
3	52872	57050	0	53800	57604	0
3	54882	57873	0	53302	54903	0
3	53939	55427	0	55026	56000	0
3	53848	53786	0	55150	54725	0
3	55946	55428	0	56974	55849	0
3	58696	57290	0	58663	58480	0
3	57780	59269	0	56994	60639	0
3	55745	61385	0	54628	62317	0
3	56456	60123	0	55133	61235	0
3	56475	59125	0	58442	61254	0
3	57254	60457	0	59445	64213	0
3	59456	61254	0	57853	65683	0
3	60145	60015	0	57125	58214	0
3	59423	61234	0	59632	59523	0
4	58455	63638	0	56133	64367	0
4	56817	64871	0	59456	63212	0
4	58445	65949	0	60112	65247	0
4	59936	64947	0	59196	64374	0
4	58576	63657	0	58156	62817	0
4	57396	62256	0	57612	61735	0
4	58296	62239	0	59297	62741	0
4	60137	63361	0	61127	63658	0
4	61892	63298	0	61262	62731	0
4	60702	61541	0	59922	60725	0
4	59075	60131	0	59569	58611	0
4	60451	59591	0	61339	60287	0
4	62434	61187	0	63748	62247	0
4	61774	65475	0	60634	61091	0
