nDate	nTimeNum	nTodayIndex	nPhase	szMatchName	nReadyTime	nNextStageTime	tbszMatchList
20241214	1930	1	64	<i18n=47337>	1200	600	1,64|32,33|16,49|17,48|8,57|25,40|9,56|24,41
20241214	2000	2	64	<i18n=47337>	1200	1080	4,61|29,36|13,52|20,45|5,60|28,37|12,53|21,44
20241215	1930	1	64	<i18n=47337>	1200	600	2,63|31,34|15,50|18,47|7,58|26,39|10,55|23,42
20241215	2000	2	64	<i18n=47337>	1200	1080	3,62|30,35|14,51|19,46|6,59|27,38|11,54|22,43
20241216	1930	1	32	<i18n=15637>	1200	600	1,32|16,17|8,25|9,24
20241216	2000	2	32	<i18n=15637>	1200	1080	4,29|13,20|5,28|12,21
20241217	1930	1	32	<i18n=15637>	1200	600	2,31|15,18|7,26|10,23
20241217	2000	2	32	<i18n=15637>	1200	1080	3,30|14,19|6,27|11,22
20241218	1930	1	16	<i18n=47344>	1200	600	1,16|8,9
20241218	2000	2	16	<i18n=47344>	1200	1080	4,13|5,12
20241219	1930	1	16	<i18n=47344>	1200	600	2,15|7,10
20241219	2000	2	16	<i18n=47344>	1200	1080	3,14|6,11
20241220	1930	1	8	<i18n=47374>	1200	600	1,8
20241220	2000	2	8	<i18n=47374>	1200	1080	4,5
20241221	1930	1	8	<i18n=47374>	1200	600	2,7
20241221	2000	2	8	<i18n=47374>	1200	1080	3,6
20241222	1900	1	4	<i18n=9735>	600	1800	1,4
20241222	1940	2	4	<i18n=9735>	600	2400	2,3
20241222	2030	3	2	<i18n=14771>	600	1080	1,2
