TypeID	TypeString	Color	AnimationClip
1	emNPC_FLYCHAR_TYPE_HIT_NORMAL	#EAB420	FlyTextHitNormal
2	emNPC_FLYCHAR_TYPE_HIT_DEADLY	#F4F124	FlyTextDeadly
3	emNPC_FLYCHAR_TYPE_HIT_MISS	#EAB420	FlyTextMiss
4	emNPC_FLYCHAR_TYPE_HURT_NORMAL	#FFFFF0	FlyTextHitNormal
5	emNPC_FLYCHAR_TYPE_HURT_DEADLY	#D17019	FlyTextDeadly
6	emNPC_FLYCHAR_TYPE_HURT_MISS	#FFFFF0	FlyTextMiss
7	emNPC_FLYCHAR_TYPE_CURE	#76E337	FlyTextCure
8	emNPC_FLYCHAR_TYPE_HIT_RESIST	#D17019	FlyTextResist
9	emNPC_FLYCHAR_TYPE_HURT_RESIST	#F4F124	FlyTextResist
10	emNPC_FLYCHAR_TYPE_HIT_CLEAR	#D17019	FlyTextClear
11	emNPC_FLYCHAR_TYPE_HURT_CLEAR	#F4F124	FlyTextClear
12	emNPC_FLYCHAR_ADD_EXP	#ba5bd1	FlyTextAddExp
13	emNPC_FLYCHAR_JINGHUO	#ba5bd1	FlyTextJingHuo
14	emNPC_FLYCHAR_TYPE_HIT_CLEAR	#D17019	FlyTextClear
15	emNPC_FLYCHAR_TYPE_HURT_CLEAR	#F4F124	FlyTextClear
