nId	nDay	szAward
1	1	Coin|3000;Item|401|20;Item|3006|2
2	2	Item|209|2;Item|2005|5;Item|3006|2
3	3	Item|901|50;Item|201|10;Item|3006|2
4	4	YuanBao|50;Item|31001|10;Item|3006|2
5	5	KinContrib|500;Item|2005|5;Item|3006|2
6	6	Item|3002|20;Item|3001|66;Item|3006|2
7	7	Item|31412|1;Item|201|10;Item|3006|2
8	8	Coin|3000;Item|401|20;Item|3006|2
9	9	Item|209|2;Item|2005|5;Item|3006|2
10	10	Item|901|50;Item|201|10;Item|3006|2
11	11	YuanBao|50;Item|31001|10;Item|3006|2
12	12	KinContrib|500;Item|2005|5;Item|3006|2
13	13	Item|3002|20;Item|3001|66;Item|3006|2
14	14	Item|31412|1;Item|650252|1;Item|3006|2
