nEquipPos	nEnhanceLv	nShowEnhanceLv	szEquipIcon	nCostItemTemplatedId	nCostItemNum
1	2	4	UI/atlas/skill/btn_wuqi_normal.png	2017	10
1	3	8	UI/atlas/skill/btn_wuqi_normal.png	2017	20
1	4	10	UI/atlas/skill/btn_wuqi_normal.png	2017	40
1	5	12	UI/atlas/skill/btn_wuqi_normal.png	2017	80
2	2	4	UI/atlas/skill/btn_yifu_normal.png	2017	6
2	3	8	UI/atlas/skill/btn_yifu_normal.png	2017	12
2	4	10	UI/atlas/skill/btn_yifu_normal.png	2017	24
2	5	12	UI/atlas/skill/btn_yifu_normal.png	2017	48
3	2	4	UI/atlas/skill/btn_fangju_normal.png	2017	2
3	3	8	UI/atlas/skill/btn_fangju_normal.png	2017	4
3	4	10	UI/atlas/skill/btn_fangju_normal.png	2017	8
3	5	12	UI/atlas/skill/btn_fangju_normal.png	2017	16
4	2	4	UI/atlas/skill/btn_shoushi_normal.png	2017	4
4	3	8	UI/atlas/skill/btn_shoushi_normal.png	2017	8
4	4	10	UI/atlas/skill/btn_shoushi_normal.png	2017	16
4	5	12	UI/atlas/skill/btn_shoushi_normal.png	2017	32
