REAL_LEVEL	HONOR_LEVEL	TIMEFRAME_REQ	FIGHTPOWER_REQ	ITEM_ID	ITEM_NUM	ATTRIB_GROUP	ATTRIB_LEVEL
1	1	OpenLevel39	18000			29	1
2	2	OpenLevel39	23000	912	2	29	2
3	3	OpenLevel39	30000	912	4	29	3
4	3	OpenLevel39	39000	912	4	29	4
5	4	OpenLevel49	49000	913	3	29	5
6	4	OpenLevel49	61000	913	3	29	6
7	5	OpenLevel59	77000	914	6	29	7
8	5	OpenLevel59	96000	914	6	29	8
9	5	OpenLevel59	120000	914	6	29	9
10	6	OpenLevel69	145000	915	8	29	10
11	6	OpenLevel69	174000	915	8	29	11
12	6	OpenLevel69	208000	915	8	29	12
13	7	OpenLevel79	240000	916	10	29	13
14	7	OpenLevel79	276000	916	10	29	14
15	7	OpenLevel79	317000	916	10	29	15
16	7	OpenLevel79	365000	916	10	29	16
17	8	OpenLevel89	401000	917	10	29	17
18	8	OpenLevel89	441000	917	10	29	18
19	8	OpenLevel89	486000	917	15	29	19
20	8	OpenLevel89	534000	917	15	29	20
21	9	OpenLevel99	561000	905	8	29	21
22	9	OpenLevel99	589000	905	10	29	22
23	9	OpenLevel99	618000	905	10	29	23
24	9	OpenLevel99	649000	905	10	29	24
25	9	OpenLevel99	682000	905	10	29	25
26	10	OpenLevel109	716000	906	12	29	26
27	10	OpenLevel109	752000	906	12	29	27
28	10	OpenLevel109	789000	906	12	29	28
29	10	OpenLevel109	829000	906	14	29	29
30	10	OpenLevel109	870000	906	14	29	30
31	11	OpenLevel129	914000	918	12	29	31
32	11	OpenLevel129	960000	918	12	29	32
33	11	OpenLevel129	1008000	918	12	29	33
34	11	OpenLevel129	1058000	918	14	29	34
35	11	OpenLevel129	1111000	918	14	29	35
36	12	OpenLevel149	1166000	919	12	29	36
37	12	OpenLevel149	1225000	919	12	29	37
38	12	OpenLevel149	1286000	919	12	29	38
39	12	OpenLevel149	1350000	919	14	29	39
40	12	OpenLevel149	1418000	919	14	29	40
41	13	OpenLevel169	1489000	920	12	29	41
42	13	OpenLevel169	1563000	920	12	29	42
43	13	OpenLevel169	1641000	920	12	29	43
44	13	OpenLevel169	1724000	920	14	29	44
45	13	OpenLevel169	1810000	920	14	29	45
46	14	OpenLevel189	1900000	907	12	29	46
47	14	OpenLevel189	1995000	907	12	29	47
48	14	OpenLevel189	2095000	907	12	29	48
49	14	OpenLevel189	2200000	907	14	29	49
50	14	OpenLevel189	2310000	907	14	29	50
51	15	OpenLevel209	2379000	923	12	29	51
52	15	OpenLevel209	2451000	923	12	29	52
53	15	OpenLevel209	2524000	923	12	29	53
54	15	OpenLevel209	2600000	923	14	29	54
55	15	OpenLevel209	2678000	923	14	29	55
56	16	OpenLevel229	2758000	924	12	29	56
57	16	OpenLevel229	2841000	924	12	29	57
58	16	OpenLevel229	2926000	924	12	29	58
59	16	OpenLevel229	3014000	924	14	29	59
60	16	OpenLevel229	3104000	924	14	29	60
61	17	OpenLevel249	3197000	925	12	29	61
62	17	OpenLevel249	3293000	925	12	29	62
63	17	OpenLevel249	3392000	925	12	29	63
64	17	OpenLevel249	3494000	925	14	29	64
65	17	OpenLevel249	3599000	925	14	29	65
66	18	OpenLevel269	3707000	926	12	29	66
67	18	OpenLevel269	3818000	926	12	29	67
68	18	OpenLevel269	3932000	926	12	29	68
69	18	OpenLevel269	4050000	926	14	29	69
70	18	OpenLevel269	4172000	926	14	29	70
71	19	OpenLevel289	4297000	927	12	29	71
72	19	OpenLevel289	4426000	927	12	29	72
73	19	OpenLevel289	4559000	927	12	29	73
74	19	OpenLevel289	4696000	927	14	29	74
75	19	OpenLevel289	4836000	927	14	29	75
