nParamId	szSaveKey	nAwardId	nVersion	nVersionSaveId	nOpenNumSaveId
1	BlessingBox	1092	1	1	2
2	EarthHappiness	1092	1	1	2
3	FortuneBox	1092	1	1	2
4	FuDaBox1	1092	1	1	2
5	FuDaBox2	1092	1	1	2
6	FuDaBox3	1092	1	1	2
7	FuDaBox4	1092	1	1	2
8	FuDaBox5	1092	1	1	2
9	FuDaBox6	1092	1	1	2
10	FuDaBox7	1092	1	1	2
11	FuDaBox8	1092	1	1	2
14	FuDaBox10	1092	1	1	2
15	FuDaBox11	1092	1	1	2
16	FuDaBox12	1092	1	1	2
17	FuDaBox13	1092	1	1	2
20	FuDaBox15	1092	1	1	2
21	FuDaBox16	1092	1	1	2
22	FuDaBox17	1092	1	1	2
23	FuDaBox18	1092	1	1	2
24	FuDaBox19	1092	1	1	2
27	FortuneBox1	1092	1	1	2
28	FortuneBox2	1092	1	1	2
29	FortuneBox3	1092	1	1	2
30	FortuneBox4	1092	1	1	2
31	FortuneBox5	1092	1	1	2
33	NewYearBox1	1092	1	1	2
34	NewYearBox2	1092	1	1	2
35	NewYearBox3	1092	1	1	2
36	NewYearBox4	1092	1	1	2
37	NewYearBox5	1092	1	1	2
38	ValentinesDayBox1	1092	1	1	2
39	ValentinesDayBox2	1092	1	1	2
40	ValentinesDayBox3	1092	1	1	2
41	ValentinesDayBox4	1092	1	1	2
42	ValentinesDayBox5	1092	1	1	2
43	ValentinesDayBox6	1092	1	1	2
44	TianJianHongFuBox1	1092	1	1	2
45	TianJianHongFuBox2	1092	1	1	2
46	TianJianHongFuBox3	1092	1	1	2
47	TianJianHongFuBox4	1092	1	1	2
48	TianJianHongFuBox5	1092	1	1	2
49	TianJianHongFuBox6	1092	1	1	2
50	YouYuanBox1	1092	1	1	2
51	YouYuanBox2	1092	1	1	2
52	YouYuanBox3	1092	1	1	2
53	YouYuanBox4	1092	1	1	2
54	YouYuanBox5	1092	1	1	2
55	YouYuanBox6	1092	1	1	2
56	TianJianHongFuBox7	1092	1	1	2
57	HongFuBox1	1092	1	1	2
58	HongFuBox2	1092	1	1	2
59	HongFuBox3	1092	1	1	2
60	HongFuBox4	1092	1	1	2
61	HongFuBox5	1092	1	1	2
62	HongFuBox6	1092	1	1	2
63	HongFuBox7	1092	1	1	2
68	fuxing1	1092	1	1	2
69	fuxing2	1092	1	1	2
70	fuxing3	1092	1	1	2
71	fuxing4	1092	1	1	2
72	fuxing5	1092	1	1	2
73	fuxing6	1092	1	1	2
74	fuxing7	1092	1	1	2
