nParamId	nAwardKey	nWeight	nStep	nMaxNum	nMaxStep	nSaveId
1	6	65000	1			3
1	7	80000	1			4
1	8	70000	1			5
1	9	50000	1			6
1	10	50000	1	2		7
1	11	80000	1			8
1	12	70000	1			9
1	13	20000	1			10
1	14	60000	1			11
1	15	65000	1			12
1	16	20000	1			13
1	17	55000	1			14
1	18	114300	1			15
1	19	50000	1			16
1	20	100000	1			17
1	21	8000	31			18
1	22	15000	31	3		19
1	23	7500	31	5		20
1	24	8000	31	5		21
1	25	5000	51	3		22
1	26	5000	51	3		23
1	27	200	71	1		24
1	28	2000	71	1	200	25
2	29	100000	1			3
2	30	100000	1			4
2	31	100000	1			5
2	32	37500	1			6
2	33	4000	51	3		7
2	34	200	71	1		8
2	35	85000	1			9
2	36	12500	1			10
2	37	7000	71	1	200	11
2	38	100000	1			12
2	39	17500	1			13
2	40	45000	1			14
2	41	7000	31	3		15
2	42	800	71	1		16
2	43	50000	1			17
2	44	85000	1			18
2	45	6000	31	3		19
2	46	32500	1			20
2	47	100000	1			21
2	48	110000	1			22
3	49	100000	1			3
3	50	100000	1			4
3	51	100000	1			5
3	52	35000	1			6
3	53	7500	51			7
3	54	200	71	1		8
3	55	80000	1			9
3	56	12500	1			10
3	57	8000	61	1	200	11
3	58	80000	1			12
3	59	20000	1			13
3	60	45000	1			14
3	61	5000	51	3		15
3	62	1000	71	1		16
3	63	80000	1			17
3	64	80000	1			18
3	66	40000	1			20
3	67	85000	1			21
3	68	120800	1			22
4	69	150000	1			3
4	70	150000	1			4
4	71	180000	1			5
4	72	10000	51			6
4	73	150000	1			7
4	74	160000	1			8
4	75	80000	1			9
4	76	20000	1			10
4	77	50000	1			11
4	78	10000	61	1	200	12
4	79	40000	1			13
5	69	140000	1			3
5	70	140000	1			4
5	71	180000	1			5
5	72	10000	51			6
5	73	150000	1			7
5	74	150000	1			8
5	75	80000	1			9
5	76	20000	1			10
5	77	50000	1			11
5	78	10000	61	1	200	12
5	84	30000	1			13
5	80	40000	1			14
6	69	140000	1			3
