TemplateId	Name	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	AttributePower	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	White1	Green1	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	White2	Green2	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel	bForbidToBox	bInHorseSkillStone
320011	<i18n=51417>		17	25	1	110		202001	202001			100	2	100	0	HorseSkillStoneItem																																																			1
320012	<i18n=51365>		17	25	1	110		202001	202001			100	3	100	0	HorseSkillStoneItem																																																			1
320013	<i18n=51414>		17	25	1	110		202001	202001			100	4	100	0	HorseSkillStoneItem																																																			1
320014	<i18n=51483>		17	25	1	110		202001	202001			100	5	100	0	HorseSkillStoneItem																																																			1
320015	<i18n=51508>		17	25	1	110		202001	202001			100	6	100	0	HorseSkillStoneItem																																																			1
320021	<i18n=51447>		17	25	2	110		202001	202001			100	2	100	0	HorseSkillStoneItem																																																			1
320022	<i18n=51490>		17	25	2	110		202001	202001			100	3	100	0	HorseSkillStoneItem																																																			1
320023	<i18n=51472>		17	25	2	110		202001	202001			100	4	100	0	HorseSkillStoneItem																																																			1
320024	<i18n=51357>		17	25	2	110		202001	202001			100	5	100	0	HorseSkillStoneItem																																																			1
320025	<i18n=51376>		17	25	2	110		202001	202001			100	6	100	0	HorseSkillStoneItem																																																			1
320031	<i18n=51426>		17	25	3	110		202001	202001			100	2	100	0	HorseSkillStoneItem																																																			1
320032	<i18n=51345>		17	25	3	110		202001	202001			100	3	100	0	HorseSkillStoneItem																																																			1
320033	<i18n=51442>		17	25	3	110		202001	202001			100	4	100	0	HorseSkillStoneItem																																																			1
320034	<i18n=51372>		17	25	3	110		202001	202001			100	5	100	0	HorseSkillStoneItem																																																			1
320035	<i18n=51355>		17	25	3	110		202001	202001			100	6	100	0	HorseSkillStoneItem																																																			1
320041	<i18n=51403>		17	25	4	110		202001	202001			100	2	100	0	HorseSkillStoneItem																																																			1
320042	<i18n=51378>		17	25	4	110		202001	202001			100	3	100	0	HorseSkillStoneItem																																																			1
320043	<i18n=51398>		17	25	4	110		202001	202001			100	4	100	0	HorseSkillStoneItem																																																			1
320044	<i18n=51334>		17	25	4	110		202001	202001			100	5	100	0	HorseSkillStoneItem																																																			1
320045	<i18n=51489>		17	25	4	110		202001	202001			100	6	100	0	HorseSkillStoneItem																																																			1
320051	<i18n=51430>		17	25	5	110		202001	202001			100	2	100	0	HorseSkillStoneItem																																																			1
320052	<i18n=51333>		17	25	5	110		202001	202001			100	3	100	0	HorseSkillStoneItem																																																			1
320053	<i18n=51437>		17	25	5	110		202001	202001			100	4	100	0	HorseSkillStoneItem																																																			1
320054	<i18n=51379>		17	25	5	110		202001	202001			100	5	100	0	HorseSkillStoneItem																																																			1
320055	<i18n=51363>		17	25	5	110		202001	202001			100	6	100	0	HorseSkillStoneItem																																																			1
320061	<i18n=62673>		17	25	6	110		202001	202001			100	2	100	0	HorseSkillStoneItem																																																			1
320062	<i18n=62746>		17	25	6	110		202001	202001			100	3	100	0	HorseSkillStoneItem																																																			1
320063	<i18n=62712>		17	25	6	110		202001	202001			100	4	100	0	HorseSkillStoneItem																																																			1
320064	<i18n=62694>		17	25	6	110		202001	202001			100	5	100	0	HorseSkillStoneItem																																																			1
320065	<i18n=62637>		17	25	6	110		202001	202001			100	6	100	0	HorseSkillStoneItem																																																			1
320071	<i18n=62688>		17	25	7	110		202001	202001			100	2	100	0	HorseSkillStoneItem																																																			1
320072	<i18n=62623>		17	25	7	110		202001	202001			100	3	100	0	HorseSkillStoneItem																																																			1
320073	<i18n=62737>		17	25	7	110		202001	202001			100	4	100	0	HorseSkillStoneItem																																																			1
320074	<i18n=62679>		17	25	7	110		202001	202001			100	5	100	0	HorseSkillStoneItem																																																			1
320075	<i18n=62650>		17	25	7	110		202001	202001			100	6	100	0	HorseSkillStoneItem																																																			1
320081	<i18n=62659>		17	25	8	110		202001	202001			100	2	100	0	HorseSkillStoneItem																																																			1
320082	<i18n=62722>		17	25	8	110		202001	202001			100	3	100	0	HorseSkillStoneItem																																																			1
320083	<i18n=62611>		17	25	8	110		202001	202001			100	4	100	0	HorseSkillStoneItem																																																			1
320084	<i18n=62634>		17	25	8	110		202001	202001			100	5	100	0	HorseSkillStoneItem																																																			1
320085	<i18n=62693>		17	25	8	110		202001	202001			100	6	100	0	HorseSkillStoneItem																																																			1
320091	<i18n=62692>		17	25	9	110		202001	202001			100	2	100	0	HorseSkillStoneItem																																																			1
320092	<i18n=62620>		17	25	9	110		202001	202001			100	3	100	0	HorseSkillStoneItem																																																			1
320093	<i18n=62728>		17	25	9	110		202001	202001			100	4	100	0	HorseSkillStoneItem																																																			1
320094	<i18n=62668>		17	25	9	110		202001	202001			100	5	100	0	HorseSkillStoneItem																																																			1
320095	<i18n=62656>		17	25	9	110		202001	202001			100	6	100	0	HorseSkillStoneItem																																																			1
320101	<i18n=62698>		17	25	10	110		202001	202001			100	2	100	0	HorseSkillStoneItem																																																			1
320102	<i18n=62700>		17	25	10	110		202001	202001			100	3	100	0	HorseSkillStoneItem																																																			1
320103	<i18n=62641>		17	25	10	110		202001	202001			100	4	100	0	HorseSkillStoneItem																																																			1
320104	<i18n=62678>		17	25	10	110		202001	202001			100	5	100	0	HorseSkillStoneItem																																																			1
320105	<i18n=62697>		17	25	10	110		202001	202001			100	6	100	0	HorseSkillStoneItem																																																			1
330011	<i18n=51366>		17	26	1	110		202002	202002			100	2	100	0	HorseSkillStoneItem																																																			1
330012	<i18n=51364>		17	26	1	110		202002	202002			100	3	100	0	HorseSkillStoneItem																																																			1
330013	<i18n=51370>		17	26	1	110		202002	202002			100	4	100	0	HorseSkillStoneItem																																																			1
330014	<i18n=51413>		17	26	1	110		202002	202002			100	5	100	0	HorseSkillStoneItem																																																			1
330015	<i18n=51367>		17	26	1	110		202002	202002			100	6	100	0	HorseSkillStoneItem																																																			1
330021	<i18n=51507>		17	26	2	110		202002	202002			100	2	100	0	HorseSkillStoneItem																																																			1
330022	<i18n=51504>		17	26	2	110		202002	202002			100	3	100	0	HorseSkillStoneItem																																																			1
330023	<i18n=51340>		17	26	2	110		202002	202002			100	4	100	0	HorseSkillStoneItem																																																			1
330024	<i18n=51432>		17	26	2	110		202002	202002			100	5	100	0	HorseSkillStoneItem																																																			1
330025	<i18n=51512>		17	26	2	110		202002	202002			100	6	100	0	HorseSkillStoneItem																																																			1
330031	<i18n=51450>		17	26	3	110		202002	202002			100	2	100	0	HorseSkillStoneItem																																																			1
330032	<i18n=51471>		17	26	3	110		202002	202002			100	3	100	0	HorseSkillStoneItem																																																			1
330033	<i18n=51458>		17	26	3	110		202002	202002			100	4	100	0	HorseSkillStoneItem																																																			1
330034	<i18n=51492>		17	26	3	110		202002	202002			100	5	100	0	HorseSkillStoneItem																																																			1
330035	<i18n=51448>		17	26	3	110		202002	202002			100	6	100	0	HorseSkillStoneItem																																																			1
330041	<i18n=51510>		17	26	4	110		202002	202002			100	2	100	0	HorseSkillStoneItem																																																			1
330042	<i18n=51502>		17	26	4	110		202002	202002			100	3	100	0	HorseSkillStoneItem																																																			1
330043	<i18n=51338>		17	26	4	110		202002	202002			100	4	100	0	HorseSkillStoneItem																																																			1
330044	<i18n=51433>		17	26	4	110		202002	202002			100	5	100	0	HorseSkillStoneItem																																																			1
330045	<i18n=51511>		17	26	4	110		202002	202002			100	6	100	0	HorseSkillStoneItem																																																			1
330051	<i18n=51457>		17	26	5	110		202002	202002			100	2	100	0	HorseSkillStoneItem																																																			1
330052	<i18n=51465>		17	26	5	110		202002	202002			100	3	100	0	HorseSkillStoneItem																																																			1
