TemplateId	Name	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	AttributePower	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	White1	Green1	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	White2	Green2	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel	bForbidToBox
43701	<i18n=五行印>		13	1	1	30	101	43820	43820			10000	1	10000	0	WuXingYin		12	40	series_enhance_v	1	1	0			series_abate_v	1	1	0																																					
43711	<i18n=五行印>		13	1	2	30	102	43820	43820			20000	2	20000	0	WuXingYin		12	190	series_enhance_v	1	1	0			series_abate_v	1	1	0																																					
43721	<i18n=五行印>		13	1	3	30	103	43820	43820			30000	3	30000	0	WuXingYin		12	440	series_enhance_v	1	1	0			series_abate_v	1	1	0																																					
43731	<i18n=五行印>		13	1	4	30	104	43820	43820			40000	3	30000	0	WuXingYin		12	790	series_enhance_v	1	1	0			series_abate_v	1	1	0																																					
43741	<i18n=五行印>		13	1	5	30	105	43820	43820			50000	4	30000	0	WuXingYin		12	1290	series_enhance_v	1	1	0			series_abate_v	1	1	0																																					
43751	<i18n=五行印>		13	1	6	30	106	43820	43820			60000	4	30000	0	WuXingYin		12	3790	series_enhance_v	1	1	0			series_abate_v	1	1	0																																					
43761	<i18n=五行印>		13	1	7	30	107	43820	43820			70000	5	30000	0	WuXingYin		12	6790	series_enhance_v	1	1	0			series_abate_v	1	1	0																																					
43771	<i18n=五行印>		13	1	8	30	108	43820	43820			80000	5	30000	0	WuXingYin		12	10290	series_enhance_v	1	1	0			series_abate_v	1	1	0																																					
43781	<i18n=五行印>		13	1	9	30	109	43820	43820			90000	6	30000	0	WuXingYin		12	14290	series_enhance_v	1	1	0			series_abate_v	1	1	0																																					
43782	<i18n=五行印>		13	1	10	30	110	43820	43820			100000	6	30000	0	WuXingYin		12	18790	series_enhance_v	1	1	0			series_abate_v	1	1	0																																					
43783	<i18n=五行印>		13	1	11	30	111	43820	43820			110000	6	30000	0	WuXingYin		12	23790	series_enhance_v	1	1	0			series_abate_v	1	1	0																																					
43784	<i18n=五行印>		13	1	12	30	112	43820	43820			120000	6	30000	0	WuXingYin		12	28790	series_enhance_v	1	1	0			series_abate_v	1	1	0																																					
43785	<i18n=五行印>		13	1	13	30	113	43820	43820			130000	6	30000	0	WuXingYin		12	33790	series_enhance_v	1	1	0			series_abate_v	1	1	0																																					
43786	<i18n=五行印>		13	1	14	30	114	43820	43820			140000	6	30000	0	WuXingYin		12	38790	series_enhance_v	1	1	0			series_abate_v	1	1	0																																					
