ShowType	Faction	FactionSect	Sex	ResId
100	1	0	0	12
100	1	1	0	2
100	2	0	0	12
100	2	1	0	17
100	3	0	0	8
100	3	1	0	8
100	4	0	0	3
100	4	1	0	8
100	5	0	0	4
100	5	1	0	9
100	6	0	0	4
100	6	1	0	4
100	7	0	0	10
100	7	1	0	15
100	8	0	0	15
100	8	1	0	5
100	9	0	0	6
100	9	1	0	6
100	10	0	0	6
100	10	1	0	6
100	11	0	0	18
100	11	1	0	3
100	12	0	0	9
100	12	1	0	4
100	13	0	0	6
100	13	1	0	11
100	14	0	0	49
100	14	1	0	49
100	15	0	0	10
100	15	1	0	5
100	16	0	0	90
100	16	1	0	13
100	17	0	0	97
100	17	1	0	4
100	18	0	0	6
100	18	1	0	6
100	19	0	0	7
100	19	1	0	117
100	20	0	0	127
100	20	1	0	127
100	21	0	0	7
100	21	1	0	117
100	1	0	1	12
100	1	1	1	2
100	2	0	1	12
100	2	1	1	17
100	3	0	1	8
100	3	1	1	8
100	4	0	1	3
100	4	1	1	8
100	5	0	1	4
100	5	1	1	9
100	6	0	1	4
100	6	1	1	4
100	7	0	1	10
100	7	1	1	15
100	8	0	1	15
100	8	1	1	5
100	9	0	1	6
100	9	1	1	6
100	10	0	1	6
100	10	1	1	6
100	11	0	1	18
100	11	1	1	3
100	12	0	1	9
100	12	1	1	4
100	13	0	1	6
100	13	1	1	11
100	14	0	1	49
100	14	1	1	49
100	15	0	1	10
100	15	1	1	5
100	16	0	1	90
100	16	1	1	13
100	17	0	1	97
100	17	1	1	4
100	18	0	1	6
100	18	1	1	6
100	19	0	1	7
100	19	1	1	117
100	20	0	1	127
100	20	1	1	127
100	21	0	1	7
100	21	1	1	117
101	1	0	0	32
101	1	1	0	22
101	2	0	0	32
101	2	1	0	37
101	3	0	0	28
101	3	1	0	28
101	4	0	0	23
101	4	1	0	28
101	5	0	0	24
101	5	1	0	29
101	6	0	0	24
101	6	1	0	24
101	7	0	0	30
101	7	1	0	35
101	8	0	0	35
101	8	1	0	25
101	9	0	0	26
101	9	1	0	26
101	10	0	0	26
101	10	1	0	26
101	11	0	0	38
101	11	1	0	23
101	12	0	0	29
101	12	1	0	24
101	13	0	0	26
101	13	1	0	31
101	14	0	0	49
101	14	1	0	49
101	15	0	0	30
101	15	1	0	25
101	16	0	0	89
101	16	1	0	33
101	17	0	0	96
101	17	1	0	24
101	18	0	0	26
101	18	1	0	26
101	19	0	0	28
101	19	1	0	117
101	20	0	0	128
101	20	1	0	128
101	21	0	0	7
101	21	1	0	117
101	1	0	1	32
101	1	1	1	22
101	2	0	1	32
101	2	1	1	37
101	3	0	1	28
101	3	1	1	28
101	4	0	1	23
101	4	1	1	28
101	5	0	1	24
101	5	1	1	29
101	6	0	1	24
101	6	1	1	24
101	7	0	1	30
101	7	1	1	35
101	8	0	1	35
101	8	1	1	25
101	9	0	1	26
101	9	1	1	26
101	10	0	1	26
101	10	1	1	26
101	11	0	1	38
101	11	1	1	23
101	12	0	1	29
101	12	1	1	24
101	13	0	1	26
101	13	1	1	31
101	14	0	1	49
101	14	1	1	49
101	15	0	1	30
101	15	1	1	25
101	16	0	1	89
101	16	1	1	33
101	17	0	1	96
101	17	1	1	24
101	18	0	1	26
101	18	1	1	26
101	19	0	1	28
101	19	1	1	117
101	20	0	1	128
101	20	1	1	128
101	21	0	1	7
101	21	1	1	117
