nAttrId	szAttrType	nAttrValueMin1	nAttrValueMax1	nAttrValueMin2	nAttrValueMax2	nAttrValueMin3	nAttrValueMax3
1	basic_damage_v	1	2	0	0	1	2
2	basic_damage_v	2	3	0	0	2	3
3	basic_damage_v	5	6	0	0	5	6
4	basic_damage_v	9	10	0	0	9	10
5	basic_damage_v	11	13	0	0	11	13
6	basic_damage_v	15	17	0	0	15	17
7	basic_damage_v	19	23	0	0	19	23
8	basic_damage_v	23	27	0	0	23	27
9	basic_damage_v	27	32	0	0	27	32
10	basic_damage_v	33	38	0	0	33	38
11	ignore_all_resist_v	100	100	1	2		
12	ignore_all_resist_v	100	100	2	3		
13	ignore_all_resist_v	100	100	5	6		
14	ignore_all_resist_v	100	100	9	10		
15	ignore_all_resist_v	100	100	11	13		
16	ignore_all_resist_v	100	100	15	17		
17	ignore_all_resist_v	100	100	19	23		
18	ignore_all_resist_v	100	100	23	27		
19	ignore_all_resist_v	100	100	27	32		
20	ignore_all_resist_v	100	100	33	38		
21	allsect_metaldamage_v	1	2				
22	allsect_metaldamage_v	2	3				
23	allsect_metaldamage_v	5	6				
24	allsect_metaldamage_v	9	10				
25	allsect_metaldamage_v	11	13				
26	allsect_metaldamage_v	15	17				
27	allsect_metaldamage_v	19	23				
28	allsect_metaldamage_v	23	27				
29	allsect_metaldamage_v	27	32				
30	allsect_metaldamage_v	33	38				
31	allsect_wooddamage_v	1	2				
32	allsect_wooddamage_v	2	3				
33	allsect_wooddamage_v	5	6				
34	allsect_wooddamage_v	9	10				
35	allsect_wooddamage_v	11	13				
36	allsect_wooddamage_v	15	17				
37	allsect_wooddamage_v	19	23				
38	allsect_wooddamage_v	23	27				
39	allsect_wooddamage_v	27	32				
40	allsect_wooddamage_v	33	38				
41	allsect_waterdamage_v	1	2				
42	allsect_waterdamage_v	2	3				
43	allsect_waterdamage_v	5	6				
44	allsect_waterdamage_v	9	10				
45	allsect_waterdamage_v	11	13				
46	allsect_waterdamage_v	15	17				
47	allsect_waterdamage_v	19	23				
48	allsect_waterdamage_v	23	27				
49	allsect_waterdamage_v	27	32				
50	allsect_waterdamage_v	33	38				
51	allsect_firedamage_v	1	2				
52	allsect_firedamage_v	2	3				
53	allsect_firedamage_v	5	6				
54	allsect_firedamage_v	9	10				
55	allsect_firedamage_v	11	13				
56	allsect_firedamage_v	15	17				
57	allsect_firedamage_v	19	23				
58	allsect_firedamage_v	23	27				
59	allsect_firedamage_v	27	32				
60	allsect_firedamage_v	33	38				
61	allsect_earthdamage_v	1	2				
62	allsect_earthdamage_v	2	3				
63	allsect_earthdamage_v	5	6				
64	allsect_earthdamage_v	9	10				
65	allsect_earthdamage_v	11	13				
66	allsect_earthdamage_v	15	17				
67	allsect_earthdamage_v	19	23				
68	allsect_earthdamage_v	23	27				
69	allsect_earthdamage_v	27	32				
70	allsect_earthdamage_v	33	38				
71	weaken_deadlystrike_damage_v	1	2				
72	weaken_deadlystrike_damage_v	2	3				
73	weaken_deadlystrike_damage_v	5	6				
74	weaken_deadlystrike_damage_v	9	10				
75	weaken_deadlystrike_damage_v	11	13				
76	weaken_deadlystrike_damage_v	15	17				
77	weaken_deadlystrike_damage_v	19	23				
78	weaken_deadlystrike_damage_v	23	27				
79	weaken_deadlystrike_damage_v	27	32				
80	weaken_deadlystrike_damage_v	33	38				
81	weaken_deadlystrike_v	1	2				
82	weaken_deadlystrike_v	2	3				
83	weaken_deadlystrike_v	5	6				
84	weaken_deadlystrike_v	9	10				
85	weaken_deadlystrike_v	11	13				
86	weaken_deadlystrike_v	15	17				
87	weaken_deadlystrike_v	19	23				
88	weaken_deadlystrike_v	23	27				
89	weaken_deadlystrike_v	27	32				
90	weaken_deadlystrike_v	33	38				
91	strength_v	1	2				
92	strength_v	2	3				
93	strength_v	5	6				
