TemplateId	Name	ItemType	Icon	ClassName	DetailType	Intro	ItemValue	ObjID	Price	Quality	RequireLevel	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10	bForbidToBox
60001	<i18n=16184>	34	60001	KinTempAttrRune	6	<i18n=202>	20000	4	1000	7	1	802	1									
60002	<i18n=10890>	34	60004	KinTempAttrRune	6	<i18n=4703>	20000	4	1000	7	1	801	1									
60003	<i18n=495>	34	60008	KinTempAttrRune	6	<i18n=5039>	20000	4	1000	2	1	803	1									
60004	<i18n=1756>	34	60009	KinTempAttrRune	6	<i18n=9751>	20000	4	1000	2	1	804	1									
60005	<i18n=9935>	34	60002	KinTempAttrRune	6	<i18n=10694>	20000	4	1000	3	1	805	1									
60006	<i18n=10339>	34	60007	KinTempAttrRune	6	<i18n=6167>	20000	4	1000	3	1	806	1									
60007	<i18n=14565>	34	60006	KinTempAttrRune	6	<i18n=13914>	20000	4	1000	5	1	807	1									
60008	<i18n=8678>	34	60003	KinTempAttrRune	6	<i18n=12296>	20000	4	1000	5	1	808	1									
60009	<i18n=8200>	34	60005	KinTempAttrRune	6	<i18n=8659>	20000	4	1000	4	1	809	1									
60010	<i18n=5997>	34	60010	KinTempAttrRune	6	<i18n=13248>	20000	4	1000	4	1	810	1									
