TemplateId	Name	_Type	_DetailType	ItemType	Icon	BigIcon	CDType	ClassName	DetailType	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	UseDelayMins	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10	QuickSearchType	Source	bQuickUse	bForbidToBox
5001	<i18n=5820>	<i18n=器魂>	<i18n=器魂>	38	5001	5001		QiHun	32	<i18n=46468>	3	1	1	1000	1	1	1	999													<i18n=奇珍阁>		0
5002	<i18n=1960>	<i18n=器魂>	<i18n=器魂>	38	5002	5002		QiHun	32	<i18n=46486>	6	2	1	1000	1	1	1	999													<i18n=奇珍阁>		0
5003	<i18n=10718>	<i18n=器魂>	<i18n=器魂>	38	5003	5003		QiHun	32	<i18n=46480>	12	3	1	1000	1	1	1	999													<i18n=奇珍阁>		0
5004	<i18n=14035>	<i18n=器魂>	<i18n=器魂>	38	5004	5004		QiHun	32	<i18n=46484>	24	4	1	1000	2	1	1	999													<i18n=奇珍阁>		0
5005	<i18n=11041>	<i18n=器魂>	<i18n=器魂>	38	5005	5005		QiHun	32	<i18n=46475>	48	5	1	1000	2	1	1	99													<i18n=奇珍阁>		0
5006	<i18n=3412>	<i18n=器魂>	<i18n=器魂>	38	5006	5006		QiHun	32	<i18n=46483>	96	6	1	1000	2	1	1	99													<i18n=奇珍阁>		0
5007	<i18n=12264>	<i18n=器魂>	<i18n=器魂>	38	5007	5007		QiHun	32	<i18n=46476>	192	7	1	1000	3	1	1	99													<i18n=奇珍阁>		0
5008	<i18n=13446>	<i18n=器魂>	<i18n=器魂>	38	5008	5008		QiHun	32	<i18n=46479>	384	8	1	1000	3	1	1	99													<i18n=奇珍阁>		0
5009	<i18n=6945>	<i18n=器魂>	<i18n=器魂>	38	5009	5009		QiHun	32	<i18n=46472>	768	9	1	1000	3	1	1	99													<i18n=奇珍阁>		0
5010	<i18n=62>	<i18n=器魂>	<i18n=器魂>	38	5010	5010		QiHun	32	<i18n=46477>	1536	10	1	1000	4	1	1	99													<i18n=奇珍阁>		0
5011	<i18n=15837>	<i18n=器魂>	<i18n=器魂>	38	5011	5011		QiHun	32	<i18n=46481>	3072	11	1	1000	4	1	1	99													<i18n=奇珍阁>		0
5012	<i18n=12596>	<i18n=器魂>	<i18n=器魂>	38	5012	5012		QiHun	32	<i18n=46485>	6144	12	1	1000	4	1	1	99													<i18n=奇珍阁>		0
5013	<i18n=8599>	<i18n=器魂>	<i18n=器魂>	38	5013	5013		QiHun	32	<i18n=46474>	12288	13	1	1000	5	1	1	99													<i18n=奇珍阁>		0
5014	<i18n=8291>	<i18n=器魂>	<i18n=器魂>	38	5014	5014		QiHun	32	<i18n=46473>	24576	14	1	1000	5	1	1	99													<i18n=奇珍阁>		0
5015	<i18n=12364>	<i18n=器魂>	<i18n=器魂>	38	5015	5015		QiHun	32	<i18n=46482>	49152	15	1	1000	5	1	1	99													<i18n=奇珍阁>		0
5016	<i18n=2322>	<i18n=器魂>	<i18n=器魂>	38	5016	5016		QiHun	32	<i18n=46478>	98304	16	1	1000	6	1	1	99													<i18n=奇珍阁>		0
5017	<i18n=15498>	<i18n=器魂>	<i18n=器魂>	38	5017	5017		QiHun	32	<i18n=46469>	196608	17	1	1000	6	1	1	99													<i18n=奇珍阁>		0
5018	<i18n=14206>	<i18n=器魂>	<i18n=器魂>	38	5018	5018		QiHun	32	<i18n=46470>	393216	18	1	1000	6	1	1	99													<i18n=奇珍阁>		0
