ParamId	RandomId1	Level1	RandomId2	Level2	RandomId3	Level3	RandomId4	Level4	RandomId5	Level5	RandomId6	Level6	RandomId7	Level7	RandomId8	Level8	RandomId9	Level9	RandomId10	Level10
1	1	10	3	40	2	30														
14	811	39	812	59	813	69	814	79	815	89	816	100								
20	1070	59	1071	69	1072	79	1073	89	1074	100										
21	1075	39	1076	100																
28	1100	59	1101	69	1102	79	1103	89	1104	100										
41	1111	59	1112	69	1113	79	1114	100												
42	22241	39	22242	49	22243	59	22244	69	22245	80										
43	22246	39	22247	49	22248	59	22249	69	22250	80										
44	22251	39	22252	49	22253	59	22254	69	22255	80										
45	22256	39	22257	49	22258	59	22259	69	22260	80										
46	22261	49	22262	59	22263	69	22264	80												
47	22265	49	22266	59	22267	69	22268	80												
48	22269	49	22270	59	22271	69	22272	80												
49	22273	49	22274	59	22275	69	22276	80												
50	22277	69	22278	80																
51	22279	69	22280	80																
52	22281	69	22282	80																
53	22283	69	22284	80																
