nSecretRank	nAfterUpgradeLevel	nCostXiuWei
1	2	3000
1	3	3000
1	4	3000
1	5	3000
1	6	3000
1	7	3000
1	8	3000
1	9	3000
1	10	3000
1	11	3000
1	12	3000
1	13	3000
1	14	3000
1	15	3000
1	16	3000
1	17	3000
1	18	3000
1	19	3000
1	20	3000
1	21	3000
1	22	3000
1	23	3000
1	24	3000
1	25	3000
1	26	3000
1	27	3000
1	28	3000
1	29	3000
1	30	3000
1	31	3000
1	32	3000
1	33	3000
1	34	3000
1	35	3000
1	36	3000
1	37	3000
1	38	3000
1	39	3000
1	40	3000
1	41	3000
1	42	3000
1	43	3000
1	44	3000
1	45	3000
1	46	3000
1	47	3000
1	48	3000
1	49	3000
1	50	3000
1	51	3000
1	52	3000
1	53	3000
1	54	3000
1	55	3000
1	56	3000
1	57	3000
1	58	3000
1	59	3000
1	60	3000
1	61	3000
1	62	3000
1	63	3000
1	64	3000
1	65	3000
1	66	3000
1	67	3000
1	68	3000
1	69	3000
1	70	3000
1	71	3000
1	72	3000
1	73	3000
1	74	3000
1	75	3000
1	76	3000
1	77	3000
1	78	3000
1	79	3000
1	80	3000
1	81	3000
1	82	3000
1	83	3000
1	84	3000
1	85	3000
1	86	3000
1	87	3000
1	88	3000
1	89	3000
1	90	3000
1	91	3000
1	92	3000
1	93	3000
1	94	3000
1	95	3000
1	96	3000
1	97	3000
1	98	3000
1	99	3000
1	100	3000
2	2	6000
2	3	6000
2	4	6000
2	5	6000
2	6	6000
2	7	6000
2	8	6000
2	9	6000
2	10	6000
2	11	6000
2	12	6000
2	13	6000
2	14	6000
2	15	6000
2	16	6000
2	17	6000
2	18	6000
2	19	6000
2	20	6000
2	21	6000
2	22	6000
2	23	6000
2	24	6000
2	25	6000
2	26	6000
2	27	6000
2	28	6000
2	29	6000
2	30	6000
2	31	6000
2	32	6000
2	33	6000
2	34	6000
2	35	6000
2	36	6000
2	37	6000
2	38	6000
2	39	6000
2	40	6000
2	41	6000
2	42	6000
2	43	6000
2	44	6000
2	45	6000
2	46	6000
2	47	6000
2	48	6000
2	49	6000
2	50	6000
2	51	6000
2	52	6000
2	53	6000
2	54	6000
2	55	6000
2	56	6000
2	57	6000
2	58	6000
2	59	6000
2	60	6000
2	61	6000
2	62	6000
2	63	6000
2	64	6000
2	65	6000
2	66	6000
2	67	6000
2	68	6000
2	69	6000
2	70	6000
2	71	6000
2	72	6000
2	73	6000
2	74	6000
2	75	6000
2	76	6000
2	77	6000
2	78	6000
2	79	6000
2	80	6000
2	81	6000
2	82	6000
2	83	6000
2	84	6000
2	85	6000
2	86	6000
2	87	6000
2	88	6000
2	89	6000
2	90	6000
2	91	6000
2	92	6000
2	93	6000
2	94	6000
2	95	6000
2	96	6000
2	97	6000
2	98	6000
2	99	6000
2	100	6000
3	2	9000
3	3	9000
3	4	9000
3	5	9000
3	6	9000
3	7	9000
3	8	9000
3	9	9000
3	10	9000
3	11	9000
3	12	9000
3	13	9000
3	14	9000
3	15	9000
3	16	9000
3	17	9000
3	18	9000
3	19	9000
3	20	9000
3	21	9000
3	22	9000
