nFaction	nSect	nSecretRank	nSkillId
1	0	1	1319
1	0	2	1312
1	0	3	1320
1	0	4	10767
1	0	5	916
1	1	1	1217
1	1	2	1218
1	1	3	1219
1	1	4	10767
1	1	5	916
2	0	1	1018
2	0	2	1021
2	0	3	1022
2	0	4	10767
2	0	5	916
2	1	1	1116
2	1	2	1021
2	1	3	1122
2	1	4	10767
2	1	5	916
3	0	1	1417
3	0	2	1418
3	0	3	1421
3	0	4	10767
3	0	5	916
3	1	1	1522
3	1	2	1523
3	1	3	1513
3	1	4	10767
3	1	5	916
4	0	1	1628
4	0	2	1629
4	0	3	1631
4	0	4	10767
4	0	5	916
4	1	1	1717
4	1	2	1718
4	1	3	1721
4	1	4	10767
4	1	5	916
5	0	1	2019
5	0	2	2020
5	0	3	2021
5	0	4	10767
5	0	5	916
5	1	1	2115
5	1	2	2116
5	1	3	2118
5	1	4	10767
5	1	5	916
6	0	1	2222
6	0	2	2225
6	0	3	2223
6	0	4	10767
6	0	5	916
6	1	1	2314
6	1	2	2315
6	1	3	2318
6	1	4	10767
6	1	5	916
7	0	1	2616
7	0	2	2617
7	0	3	2618
7	0	4	10767
7	0	5	916
7	1	1	2716
7	1	2	2717
7	1	3	2718
7	1	4	10767
7	1	5	916
8	0	1	2819
8	0	2	2820
8	0	3	2821
8	0	4	10767
8	0	5	916
8	1	1	2916
8	1	2	2917
8	1	3	2918
8	1	4	10767
8	1	5	916
9	0	1	3017
9	0	2	3018
9	0	3	3021
9	0	4	10767
9	0	5	916
9	1	1	3131
9	1	2	3132
9	1	3	3134
9	1	4	10767
9	1	5	916
10	0	1	3220
10	0	2	3221
10	0	3	3224
10	0	4	10767
10	0	5	916
10	1	1	3314
10	1	2	3315
10	1	3	3316
10	1	4	10767
10	1	5	916
11	0	1	1818
11	0	2	1819
11	0	3	1821
11	0	4	10767
11	0	5	916
11	1	1	1915
11	1	2	1916
11	1	3	1917
11	1	4	10767
11	1	5	916
12	0	1	2416
12	0	2	2417
12	0	3	2418
12	0	4	10767
12	0	5	916
12	1	1	2522
12	1	2	2523
12	1	3	2524
12	1	4	10767
12	1	5	916
13	0	1	3417
13	0	2	3418
13	0	3	3420
13	0	4	10767
13	0	5	916
13	1	1	3524
13	1	2	3525
13	1	3	3528
13	1	4	10767
13	1	5	916
14	0	1	3619
14	0	2	3620
14	0	3	3621
14	0	4	10767
14	0	5	916
14	1	1	3727
14	1	2	3728
14	1	3	3729
14	1	4	10767
14	1	5	916
15	0	1	3821
15	0	2	3822
15	0	3	3824
15	0	4	10767
15	0	5	916
15	1	1	3920
15	1	2	3921
15	1	3	3923
15	1	4	10767
15	1	5	916
16	0	1	4221
16	0	2	4222
16	0	3	4224
16	0	4	10767
16	0	5	916
16	1	1	4319
16	1	2	4320
16	1	3	4322
16	1	4	10767
16	1	5	916
17	0	1	4019
17	0	2	4020
17	0	3	4022
17	0	4	10767
17	0	5	916
17	1	1	4122
17	1	2	4123
17	1	3	4125
17	1	4	10767
17	1	5	916
18	0	1	4521
18	0	2	4522
18	0	3	4523
18	0	4	10767
18	0	5	916
18	1	1	4422
18	1	2	4423
18	1	3	4427
18	1	4	10767
18	1	5	916
19	0	1	4720
19	0	2	4721
19	0	3	4722
19	0	4	10767
19	0	5	916
19	1	1	4622
19	1	2	4623
19	1	3	4625
19	1	4	10767
19	1	5	916
20	0	1	4820
20	0	2	4821
20	0	3	4823
20	0	4	10767
20	0	5	916
20	1	1	4916
20	1	2	4917
20	1	3	4919
20	1	4	10767
20	1	5	916
21	0	1	4720
21	0	2	4721
21	0	3	4722
21	0	4	10767
21	0	5	916
21	1	1	4622
21	1	2	4623
21	1	3	4625
21	1	4	10767
21	1	5	916
