nId	nTemplateId	nSaveId	nWeight	nAwardID	nAwardKey
1	1715	2	5000	1136	21
1	1716	3	5000	1136	22
1	1717	4	5000	1136	23
1	1718	5	15000	1136	24
1	1719	6	15000	1136	25
1	1720	7	15000	1136	26
1	1721	8	15000	1136	27
1	1722	9	15000	1136	28
1	1723	10	15000	1136	29
1	1724	11	26000	1136	30
1	1725	12	26000	1136	31
1	1726	13	26000	1136	32
1	1727	14	26000	1136	33
1	1728	15	26000	1136	34
1	1729	16	26000	1136	35
1	1730	17	26000	1136	36
1	1731	18	26000	1136	37
1	1732	19	26000	1136	38
1	1733	20	55000	1136	39
1	1734	21	55000	1136	40
1	1735	22	55000	1136	41
1	1736	23	55000	1136	42
1	1737	24	55000	1136	43
1	1738	25	55000	1136	44
1	1739	26	55000	1136	45
1	1740	27	55000	1136	46
1	1741	28	55000	1136	47
1	1742	29	55000	1136	48
1	1743	30	55000	1136	49
1	1744	31	56000	1136	50
