szkey	ColorName	_Desc
EquipRank	RiceWhite	<i18n=7944>
EquipBelong	RiceWhite	<i18n=9620>
EquipLevel	RiceWhite	<i18n=6163>
EquipFightPower	NewOrange	<i18n=5202>
EquipAttrbTittle	RiceYellow	<i18n=2517>
EquipBaseAttrb	NewGreen	<i18n=7640>
EquipEnhanceAttrb	NewGreen	<i18n=9618>
EquipJingzhuAttrb	NewGreen	<i18n=8388>
EquipLianhuaAttrb	NewOrange	<i18n=10201>
ItemSource	NewBlue	<i18n=3269>
ItemTransaction	NewGreen	<i18n=2545>
NoItemTransaction	NewOrange	<i18n=5496>
NoEquipTransaction	NewOrange	<i18n=9975>
Lable1	NewGreen	<i18n=1353>
