nRandAttrLevel	lifemax_v	manamax_v	metal_resist_v	all_series_resist_v	allsect_metaldamage_v	defense_v	ignore_defense_v	deadlystrike_v	weaken_deadlystrike_v	deadlystrike_damage_v	weaken_deadlystrike_damage_v	basic_damage_v	attackrating_v	ignore_all_resist_v	steallife_v	ignore_metal_resist_v	ignore_wood_resist_v	ignore_water_resist_v	ignore_fire_resist_v	ignore_earth_resist_v	recover_life_v	recover_mana_v
1	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
2	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
3	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
4	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
5	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
6	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
7	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
8	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
9	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
10	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
11	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
12	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
13	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
14	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
15	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
16	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
17	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
18	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
19	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
20	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
21	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
22	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
23	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
24	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
25	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
26	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
27	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
28	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
29	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
30	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
31	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
32	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
33	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
34	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
35	120000	100000	80000	40000	20000	40000	40000	20000	20000	20000	20000	20000	60000	20000	60000	40000	40000	40000	40000	40000	60000	60000
