nFixAttrLevel	nAbDegree	nEnDegree	nCostTemplate	nPerAdd
0	120	150	901	1
1	240	300	901	1
2	360	450	901	1
3	480	600	901	1
4	600	750	901	1
5	720	900	901	1
6	840	1050	901	1
7	960	1200	901	1
8	1080	1350	901	1
9	1200	1500	901	1
10	1320	1650	901	1
11	1440	1800	901	1
12	1560	1950	901	1
13	1680	2100	901	1
14	1800	2250	901	1
15	1920	2400	901	1
16	2040	2550	901	1
17	2160	2700	901	1
18	2280	2850	901	1
19	2400	3000	901	1
20	2400	3000	901	1
21	2400	3000	901	1
22	2400	3000	901	1
23	2400	3000	901	1
24	2400	3000	901	1
25	2400	3000	901	1
26	2400	3000	901	1
27	2400	3000	901	1
28	2400	3000	901	1
29	2400	3000	901	1
30	2400	3000	901	1
31	2400	3000	901	1
32	2400	3000	901	1
33	2400	3000	901	1
34	2400	3000	901	1
35	2400	3000	901	1
36	2400	3000	901	1
37	2400	3000	901	1
38	2400	3000	901	1
39	2400	3000	901	1
40	2400	3000	901	1
41	2400	3000	901	1
42	2400	3000	901	1
43	2400	3000	901	1
44	2400	3000	901	1
45	2400	3000	901	1
46	2400	3000	901	1
47	2400	3000	901	1
48	2400	3000	901	1
49	2400	3000	901	1
50	2400	3000	901	1
51	2400	3000	901	1
52	2400	3000	901	1
53	2400	3000	901	1
54	2400	3000	901	1
55	2400	3000	901	1
56	2400	3000	901	1
57	2400	3000	901	1
58	2400	3000	901	1
59	2400	3000	901	1
60	2400	3000	901	1
61	2400	3000	901	1
62	2400	3000	901	1
63	2400	3000	901	1
64	2400	3000	901	1
65	2400	3000	901	1
66	2400	3000	901	1
67	2400	3000	901	1
68	2400	3000	901	1
69	2400	3000	901	1
70	2400	3000	901	1
71	2400	3000	901	1
72	2400	3000	901	1
73	2400	3000	901	1
74	2400	3000	901	1
75	2400	3000	901	1
76	2400	3000	901	1
77	2400	3000	901	1
78	2400	3000	901	1
79	2400	3000	901	1
80	2400	3000	901	1
81	2400	3000	901	1
82	2400	3000	901	1
83	2400	3000	901	1
84	2400	3000	901	1
85	2400	3000	901	1
86	2400	3000	901	1
87	2400	3000	901	1
88	2400	3000	901	1
89	2400	3000	901	1
90	2400	3000	901	1
91	2400	3000	901	1
92	2400	3000	901	1
93	2400	3000	901	1
94	2400	3000	901	1
95	2400	3000	901	1
96	2400	3000	901	1
97	2400	3000	901	1
98	2400	3000	901	1
99	2400	3000	901	1
100	2400	3000	901	1
101	2400	3000	901	1
102	2400	3000	901	1
103	2400	3000	901	1
104	2400	3000	901	1
105	2400	3000	901	1
106	2400	3000	901	1
107	2400	3000	901	1
108	2400	3000	901	1
109	2400	3000	901	1
110	2400	3000	901	1
111	2400	3000	901	1
112	2400	3000	901	1
113	2400	3000	901	1
114	2400	3000	901	1
115	2400	3000	901	1
116	2400	3000	901	1
117	2400	3000	901	1
118	2400	3000	901	1
119	2400	3000	901	1
120	2400	3000	901	1
121	2400	3000	901	1
122	2400	3000	901	1
123	2400	3000	901	1
124	2400	3000	901	1
125	2400	3000	901	1
126	2400	3000	901	1
127	2400	3000	901	1
128	2400	3000	901	1
129	2400	3000	901	1
130	2400	3000	901	1
131	2400	3000	901	1
132	2400	3000	901	1
133	2400	3000	901	1
134	2400	3000	901	1
135	2400	3000	901	1
136	2400	3000	901	1
137	2400	3000	901	1
138	2400	3000	901	1
139	2400	3000	901	1
140	2400	3000	901	1
