nLevel	nQuality	nMustGet	nGetMinTimes
2	1	1	1
2	2	1	1
2	3	1	1
2	4	40	10
2	5	120	30
2	6	1000	200
3	1	1	1
3	2	1	1
3	3	1	1
3	4	40	10
3	5	120	30
3	6	1000	200
4	1	1	1
4	2	1	1
4	3	1	1
4	4	40	10
4	5	120	30
4	6	1000	200
5	1	1	1
5	2	1	1
5	3	1	1
5	4	40	10
5	5	120	30
5	6	1000	200
6	1	1	1
6	2	1	1
6	3	1	1
6	4	40	10
6	5	120	30
6	6	1000	200
7	1	1	1
7	2	1	1
7	3	1	1
7	4	40	10
7	5	120	30
7	6	1000	200
8	1	1	1
8	2	1	1
8	3	1	1
8	4	40	10
8	5	120	30
8	6	1000	200
9	1	1	1
9	2	1	1
9	3	1	1
9	4	40	10
9	5	120	30
9	6	1000	200
10	1	1	1
10	2	1	1
10	3	1	1
10	4	40	10
10	5	120	30
10	6	1000	200
11	1	1	1
11	2	1	1
11	3	1	1
11	4	40	10
11	5	120	30
11	6	1000	200
12	1	1	1
12	2	1	1
12	3	1	1
12	4	40	10
12	5	120	30
12	6	1000	200
13	1	1	1
13	2	1	1
13	3	1	1
13	4	40	10
13	5	120	30
13	6	1000	200
14	1	1	1
14	2	1	1
14	3	1	1
14	4	40	10
14	5	120	30
14	6	1000	200
15	1	1	1
15	2	1	1
15	3	1	1
15	4	40	10
15	5	120	30
15	6	1000	200
16	1	1	1
16	2	1	1
16	3	1	1
16	4	40	10
16	5	120	30
16	6	1000	200
17	1	1	1
17	2	1	1
17	3	1	1
17	4	40	10
17	5	120	30
17	6	1000	200
18	1	1	1
18	2	1	1
18	3	1	1
18	4	40	10
18	5	120	30
18	6	1000	200
