nLevel	szOpenTime	series_abate_v	series_enhance_v	nNewAttr	nWashTypeCostID	nWashTypeCost	nWashValCostID	nWashValCost	nEquipLvUpCostID	nEquipLvUpCost	nDefaultAttrLv
1	OpenLevel59	10	10	0	410	-1	411	-1	901	300	1
2	OpenLevel79	20	20	2	410	10	411	4	901	500	1
3	OpenLevel99	30	30	1	410	10	411	4	901	700	11
4	OpenLevel119	40	40	0	410	10	411	4	901	1000	21
5	OpenLevel139	50	50	1	410	10	411	4	901	5000	31
6	OpenLevel159	60	60	0	410	10	411	4	901	6000	41
7	OpenLevel179	70	70	1	410	10	411	4	901	7000	51
8	OpenLevel199	80	80	0	410	10	411	4	901	8000	61
9	OpenLevel219	90	90	1	410	10	411	4	901	9000	71
10	OpenLevel239	100	100	0	410	10	411	4	901	10000	81
11	OpenLevel259	110	110	0	410	10	411	4	901	10000	91
12	OpenLevel279	120	120	0	410	10	411	4	901	10000	101
13	OpenLevel299	130	130	0	410	10	411	4	901	10000	111
14	OpenLevel299	140	140	0	410	10	411	4	901	10000	121
