nAttrId	nQuality	szAttrType	nAttrValueMin1	nAttrValueMax1	nAttrValueMin2	nAttrValueMax2	nAttrValueMin3	nAttrValueMax3
1	1	allsect_metaldamage_v	5	24				
1	2	allsect_metaldamage_v	25	42				
1	3	allsect_metaldamage_v	43	60				
1	4	allsect_metaldamage_v	61	77				
1	5	allsect_metaldamage_v	78	95				
1	6	allsect_metaldamage_v	96	107				
1	7	allsect_metaldamage_v	108	119				
2	1	allsect_wooddamage_v	5	24				
2	2	allsect_wooddamage_v	25	42				
2	3	allsect_wooddamage_v	43	60				
2	4	allsect_wooddamage_v	61	77				
2	5	allsect_wooddamage_v	78	95				
2	6	allsect_wooddamage_v	96	107				
2	7	allsect_wooddamage_v	108	119				
3	1	allsect_waterdamage_v	5	24				
3	2	allsect_waterdamage_v	25	42				
3	3	allsect_waterdamage_v	43	60				
3	4	allsect_waterdamage_v	61	77				
3	5	allsect_waterdamage_v	78	95				
3	6	allsect_waterdamage_v	96	107				
3	7	allsect_waterdamage_v	108	119				
4	1	allsect_firedamage_v	5	24				
4	2	allsect_firedamage_v	25	42				
4	3	allsect_firedamage_v	43	60				
4	4	allsect_firedamage_v	61	77				
4	5	allsect_firedamage_v	78	95				
4	6	allsect_firedamage_v	96	107				
4	7	allsect_firedamage_v	108	119				
5	1	allsect_earthdamage_v	5	24				
5	2	allsect_earthdamage_v	25	42				
5	3	allsect_earthdamage_v	43	60				
5	4	allsect_earthdamage_v	61	77				
5	5	allsect_earthdamage_v	78	95				
5	6	allsect_earthdamage_v	96	107				
5	7	allsect_earthdamage_v	108	119				
6	1	metal_resist_v	25	119				
6	2	metal_resist_v	120	209				
6	3	metal_resist_v	210	298				
6	4	metal_resist_v	299	387				
6	5	metal_resist_v	388	477				
6	6	metal_resist_v	478	536				
6	7	metal_resist_v	537	596				
7	1	wood_resist_v	25	119				
7	2	wood_resist_v	120	209				
7	3	wood_resist_v	210	298				
7	4	wood_resist_v	299	387				
7	5	wood_resist_v	388	477				
7	6	wood_resist_v	478	536				
7	7	wood_resist_v	537	596				
8	1	water_resist_v	25	119				
8	2	water_resist_v	120	209				
8	3	water_resist_v	210	298				
8	4	water_resist_v	299	387				
8	5	water_resist_v	388	477				
8	6	water_resist_v	478	536				
8	7	water_resist_v	537	596				
9	1	fire_resist_v	25	119				
9	2	fire_resist_v	120	209				
9	3	fire_resist_v	210	298				
9	4	fire_resist_v	299	387				
9	5	fire_resist_v	388	477				
9	6	fire_resist_v	478	536				
9	7	fire_resist_v	537	596				
10	1	earth_resist_v	25	119				
10	2	earth_resist_v	120	209				
10	3	earth_resist_v	210	298				
10	4	earth_resist_v	299	387				
10	5	earth_resist_v	388	477				
10	6	earth_resist_v	478	536				
10	7	earth_resist_v	537	596				
11	1	all_series_resist_v	5	24				
11	2	all_series_resist_v	25	42				
11	3	all_series_resist_v	43	60				
11	4	all_series_resist_v	61	77				
11	5	all_series_resist_v	78	95				
11	6	all_series_resist_v	96	107				
11	7	all_series_resist_v	108	119				
12	1	ignore_all_resist_v	100	100	5	24		
12	2	ignore_all_resist_v	100	100	25	42		
12	3	ignore_all_resist_v	100	100	43	60		
12	4	ignore_all_resist_v	100	100	61	77		
12	5	ignore_all_resist_v	100	100	78	95		
12	6	ignore_all_resist_v	100	100	96	107		
12	7	ignore_all_resist_v	100	100	108	119		
13	1	defense_v	5	24				
13	2	defense_v	25	42				
13	3	defense_v	43	60				
13	4	defense_v	61	77				
13	5	defense_v	78	95				
13	6	defense_v	96	107				
13	7	defense_v	108	119				
14	1	ignore_defense_v	5	24				
14	2	ignore_defense_v	25	42				
14	3	ignore_defense_v	43	60				
14	4	ignore_defense_v	61	77				
14	5	ignore_defense_v	78	95				
14	6	ignore_defense_v	96	107				
