nAttrId	nQuality	szAttrType	nAttrValue1	nAttrValue2	nAttrValue3	_Design1	_Design2
1	100	all_series_resist_v	30			<i18n=基础属性>	<i18n=612>
1	1	all_series_resist_v	6			<i18n=36424>	<i18n=612>
1	2	all_series_resist_v	15			<i18n=36424>	<i18n=612>
1	3	all_series_resist_v	24			<i18n=36424>	<i18n=612>
1	4	all_series_resist_v	36			<i18n=36424>	<i18n=612>
1	5	all_series_resist_v	45			<i18n=36424>	<i18n=612>
1	6	all_series_resist_v	51			<i18n=36424>	<i18n=612>
1	7	all_series_resist_v	60			<i18n=36424>	<i18n=612>
2	100	ignore_all_resist_v	100	30		<i18n=基础属性>	<i18n=8019>
2	1	ignore_all_resist_v	100	6		<i18n=36424>	<i18n=8019>
2	2	ignore_all_resist_v	100	15		<i18n=36424>	<i18n=8019>
2	3	ignore_all_resist_v	100	24		<i18n=36424>	<i18n=8019>
2	4	ignore_all_resist_v	100	36		<i18n=36424>	<i18n=8019>
2	5	ignore_all_resist_v	100	45		<i18n=36424>	<i18n=8019>
2	6	ignore_all_resist_v	100	51		<i18n=36424>	<i18n=8019>
2	7	ignore_all_resist_v	100	60		<i18n=36424>	<i18n=8019>
3	100	series_enhance_v	30			<i18n=基础属性>	<i18n=8516>
3	1	series_enhance_v	6			<i18n=36424>	<i18n=8516>
3	2	series_enhance_v	15			<i18n=36424>	<i18n=8516>
3	3	series_enhance_v	24			<i18n=36424>	<i18n=8516>
3	4	series_enhance_v	36			<i18n=36424>	<i18n=8516>
3	5	series_enhance_v	45			<i18n=36424>	<i18n=8516>
3	6	series_enhance_v	51			<i18n=36424>	<i18n=8516>
3	7	series_enhance_v	60			<i18n=36424>	<i18n=8516>
4	100	series_abate_v	30			<i18n=基础属性>	<i18n=4220>
4	1	series_abate_v	6			<i18n=36424>	<i18n=4220>
4	2	series_abate_v	15			<i18n=36424>	<i18n=4220>
4	3	series_abate_v	24			<i18n=36424>	<i18n=4220>
4	4	series_abate_v	36			<i18n=36424>	<i18n=4220>
4	5	series_abate_v	45			<i18n=36424>	<i18n=4220>
4	6	series_abate_v	51			<i18n=36424>	<i18n=4220>
4	7	series_abate_v	60			<i18n=36424>	<i18n=4220>
5	100	deadlystrike_v	30			<i18n=基础属性>	<i18n=1407>
5	1	deadlystrike_v	6			<i18n=36424>	<i18n=1407>
5	2	deadlystrike_v	15			<i18n=36424>	<i18n=1407>
5	3	deadlystrike_v	24			<i18n=36424>	<i18n=1407>
5	4	deadlystrike_v	36			<i18n=36424>	<i18n=1407>
5	5	deadlystrike_v	45			<i18n=36424>	<i18n=1407>
5	6	deadlystrike_v	51			<i18n=36424>	<i18n=1407>
5	7	deadlystrike_v	60			<i18n=36424>	<i18n=1407>
6	100	deadlystrike_damage_v	30			<i18n=基础属性>	<i18n=14745>
6	1	deadlystrike_damage_v	6			<i18n=36424>	<i18n=14745>
6	2	deadlystrike_damage_v	15			<i18n=36424>	<i18n=14745>
6	3	deadlystrike_damage_v	24			<i18n=36424>	<i18n=14745>
6	4	deadlystrike_damage_v	36			<i18n=36424>	<i18n=14745>
6	5	deadlystrike_damage_v	45			<i18n=36424>	<i18n=14745>
6	6	deadlystrike_damage_v	51			<i18n=36424>	<i18n=14745>
6	7	deadlystrike_damage_v	60			<i18n=36424>	<i18n=14745>
7	100	weaken_deadlystrike_damage_v	30			<i18n=基础属性>	<i18n=8913>
7	1	weaken_deadlystrike_damage_v	6			<i18n=36424>	<i18n=8913>
7	2	weaken_deadlystrike_damage_v	15			<i18n=36424>	<i18n=8913>
7	3	weaken_deadlystrike_damage_v	24			<i18n=36424>	<i18n=8913>
7	4	weaken_deadlystrike_damage_v	36			<i18n=36424>	<i18n=8913>
7	5	weaken_deadlystrike_damage_v	45			<i18n=36424>	<i18n=8913>
7	6	weaken_deadlystrike_damage_v	51			<i18n=36424>	<i18n=8913>
7	7	weaken_deadlystrike_damage_v	60			<i18n=36424>	<i18n=8913>
8	100	weaken_deadlystrike_v	30			<i18n=基础属性>	<i18n=1099>
8	1	weaken_deadlystrike_v	6			<i18n=36424>	<i18n=1099>
8	2	weaken_deadlystrike_v	15			<i18n=36424>	<i18n=1099>
8	3	weaken_deadlystrike_v	24			<i18n=36424>	<i18n=1099>
8	4	weaken_deadlystrike_v	36			<i18n=36424>	<i18n=1099>
8	5	weaken_deadlystrike_v	45			<i18n=36424>	<i18n=1099>
8	6	weaken_deadlystrike_v	51			<i18n=36424>	<i18n=1099>
8	7	weaken_deadlystrike_v	60			<i18n=36424>	<i18n=1099>
9	100	basic_damage_v	30		30	<i18n=基础属性>	<i18n=15984>
9	1	basic_damage_v	6		6	<i18n=36424>	<i18n=15984>
9	2	basic_damage_v	15		15	<i18n=36424>	<i18n=15984>
9	3	basic_damage_v	24		24	<i18n=36424>	<i18n=15984>
9	4	basic_damage_v	36		36	<i18n=36424>	<i18n=15984>
9	5	basic_damage_v	45		45	<i18n=36424>	<i18n=15984>
9	6	basic_damage_v	51		51	<i18n=36424>	<i18n=15984>
9	7	basic_damage_v	60		60	<i18n=36424>	<i18n=15984>
10	100	vitality_v	30			<i18n=基础属性>	<i18n=4293>
10	1	vitality_v	6			<i18n=36424>	<i18n=4293>
10	2	vitality_v	15			<i18n=36424>	<i18n=4293>
10	3	vitality_v	24			<i18n=36424>	<i18n=4293>
10	4	vitality_v	36			<i18n=36424>	<i18n=4293>
10	5	vitality_v	45			<i18n=36424>	<i18n=4293>
10	6	vitality_v	51			<i18n=36424>	<i18n=4293>
10	7	vitality_v	60			<i18n=36424>	<i18n=4293>
11	100	energy_v	30			<i18n=基础属性>	<i18n=7532>
11	1	energy_v	6			<i18n=36424>	<i18n=7532>
11	2	energy_v	15			<i18n=36424>	<i18n=7532>
11	3	energy_v	24			<i18n=36424>	<i18n=7532>
11	4	energy_v	36			<i18n=36424>	<i18n=7532>
11	5	energy_v	45			<i18n=36424>	<i18n=7532>
11	6	energy_v	51			<i18n=36424>	<i18n=7532>
11	7	energy_v	60			<i18n=36424>	<i18n=7532>
12	100	defense_v	30			<i18n=基础属性>	<i18n=NPC_FLYCHAR_MISS>
12	1	defense_v	6			<i18n=36424>	<i18n=NPC_FLYCHAR_MISS>
12	2	defense_v	15			<i18n=36424>	<i18n=NPC_FLYCHAR_MISS>
12	3	defense_v	24			<i18n=36424>	<i18n=NPC_FLYCHAR_MISS>
12	4	defense_v	36			<i18n=36424>	<i18n=NPC_FLYCHAR_MISS>
12	5	defense_v	45			<i18n=36424>	<i18n=NPC_FLYCHAR_MISS>
12	6	defense_v	51			<i18n=36424>	<i18n=NPC_FLYCHAR_MISS>
12	7	defense_v	60			<i18n=36424>	<i18n=NPC_FLYCHAR_MISS>
13	100	ignore_defense_v	30			<i18n=基础属性>	<i18n=11565>
13	1	ignore_defense_v	6			<i18n=36424>	<i18n=11565>
13	2	ignore_defense_v	15			<i18n=36424>	<i18n=11565>
13	3	ignore_defense_v	24			<i18n=36424>	<i18n=11565>
13	4	ignore_defense_v	36			<i18n=36424>	<i18n=11565>
13	5	ignore_defense_v	45			<i18n=36424>	<i18n=11565>
13	6	ignore_defense_v	51			<i18n=36424>	<i18n=11565>
13	7	ignore_defense_v	60			<i18n=36424>	<i18n=11565>
14	100	lifemax_v	596			<i18n=基础属性>	<i18n=15192>
14	1	lifemax_v	119			<i18n=36424>	<i18n=15192>
14	2	lifemax_v	298			<i18n=36424>	<i18n=15192>
14	3	lifemax_v	477			<i18n=36424>	<i18n=15192>
14	4	lifemax_v	715			<i18n=36424>	<i18n=15192>
