PosID	MapID	MapName	Pos	TrapIndex
1	300	<i18n=24326>	17662,77380,0	1
2	300	<i18n=24326>	40079,99885,0	2
3	300	<i18n=24326>	73386,48055,0	3
4	300	<i18n=24326>	54547,18410,0	4
5	300	<i18n=24326>	68097,82800,0	5
6	300	<i18n=24326>	33591,31512,0	6
7	301	<i18n=24335>	36157,39054,0	1
8	301	<i18n=24335>	41133,82815,0	2
9	301	<i18n=24335>	66006,103461,0	3
10	301	<i18n=24335>	86726,82879,0	4
11	301	<i18n=24335>	108965,64040,0	5
12	301	<i18n=24335>	77626,28698,0	6
13	302	<i18n=24330>	41296,79449,0	1
14	302	<i18n=24330>	47143,121611,0	2
15	302	<i18n=24330>	74606,127412,0	3
16	302	<i18n=24330>	87823,76100,0	4
17	302	<i18n=24330>	33592,35385,0	5
18	302	<i18n=24330>	81351,49137,0	6
19	303	<i18n=24338>	49129,113408,0	1
20	303	<i18n=24338>	73248,95414,0	2
21	303	<i18n=24338>	82247,67445,0	3
22	303	<i18n=24338>	57624,41043,0	4
23	303	<i18n=24338>	32885,49421,0	5
24	303	<i18n=24338>	18995,79417,0	6
