Level	MaxMember	MaxNewer	MaxMaster	MaxViceMaster	MaxCommand	MaxElite	MaxMascot	MaxFund
1	70	10	1	2	1	5	2	99999999
2	70	10	1	2	1	5	2	99999999
3	70	10	1	2	1	5	2	99999999
4	70	10	1	2	1	5	2	99999999
5	70	10	1	2	1	5	2	99999999
6	70	10	1	2	1	5	2	99999999
7	70	10	1	2	1	5	2	99999999
8	70	10	1	2	1	5	2	99999999
9	70	10	1	2	1	5	2	99999999
10	70	10	1	2	1	5	2	99999999
11	70	10	1	2	1	5	2	99999999
12	70	10	1	2	1	5	2	99999999
13	70	10	1	2	1	5	2	99999999
14	70	10	1	2	1	5	2	99999999
15	70	10	1	2	1	5	2	99999999
16	70	10	1	2	1	5	2	99999999
17	70	10	1	2	1	5	2	99999999
18	70	10	1	2	1	5	2	99999999
19	70	10	1	2	1	5	2	99999999
20	70	10	1	2	1	5	2	99999999
21	70	10	1	2	1	5	2	99999999
22	70	10	1	2	1	5	2	99999999
23	70	10	1	2	1	5	2	99999999
24	70	10	1	2	1	5	2	99999999
25	70	10	1	2	1	5	2	99999999
26	70	10	1	2	1	5	2	99999999
27	70	10	1	2	1	5	2	99999999
28	70	10	1	2	1	5	2	99999999
29	70	10	1	2	1	5	2	99999999
