nLevel	nPrepareTime	nChallengeTime	nSettleTime	nNpcLevel	szMonsterRefreshParam	nRefreshInterval	nMonsterMaxNum	szBossNpcId	nReach	szTargetDesc	szProcessDesc	nGouHuoExistTime	nGouHuoBaseExp	nGouHuoPeriodTime	nGouHuoPosX	nGouHuoPosY	szSLevel	szALevel	szBLevel	szCLevel	nCanUseRobot	nPlayerCamp
1	6	120	30	50	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000	3	40		60	<i18n=38437>	<i18n=36850>	15	7040	5	20729	16062	0|59	60|79	80|99	100|120	1	0
2	6	120	30	50	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000	3	40		60	<i18n=38437>	<i18n=36850>	15	7040	5	20729	16062	0|59	60|79	80|99	100|120	1	0
3	6	120	30	50	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40		60	<i18n=38437>	<i18n=36850>	15	7040	5	20729	16062	0|59	60|79	80|99	100|120	1	0
4	6	120	30	50	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40		60	<i18n=38437>	<i18n=36850>	15	7040	5	20729	16062	0|59	60|79	80|99	100|120	1	0
5	6	120	30	50	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40	13036	1	<i18n=37085>	<i18n=37126>	15	7040	5	20729	16062	0|59	60|79	80|99	100|120	1	0
26	6	120	30	60	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12490|10|2000;12491|40|2000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	23323	33291	0|59	60|79	80|99	100|120		0
27	6	120	30	60	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12490|10|2000;12491|40|2000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	23323	33291	0|59	60|79	80|99	100|120		0
28	6	120	30	60	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12490|10|2000;12491|40|2000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	23323	33291	0|59	60|79	80|99	100|120		0
29	6	120	30	60	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12490|10|2000;12491|40|2000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	23323	33291	0|59	60|79	80|99	100|120		0
30	6	120	30	60	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12490|10|2000;12491|40|2000	3	40	13036	1	<i18n=37085>	<i18n=37126>	15	7040	5	23323	33291	0|59	60|79	80|99	100|120		0
51	6	120	30	70	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12492|10|2000;12493|40|2000	3	40		120	<i18n=39699>	<i18n=36850>	15	7040	5	18777	23885	0|59	60|79	80|99	100|120		0
