nLevel	nPrepareTime	nChallengeTime	nSettleTime	nNpcLevel	szMonsterRefreshParam	nRefreshInterval	nMonsterMaxNum	nLessThan	szTargetDesc	szProcessDesc	szMonsterNpcType	nGouHuoExistTime	nGouHuoBaseExp	nGouHuoPeriodTime	nGouHuoPosX	nGouHuoPosY	szSLevel	szALevel	szBLevel	szCLevel	nCanUseRobot	nPlayerCamp
16	6	120	30	50	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	20729	16062	0|0	1|1	2|2	3|3		0
17	6	120	30	50	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	20729	16062	0|0	1|1	2|2	3|3		0
18	6	120	30	50	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	20729	16062	0|0	1|1	2|2	3|3		0
19	6	120	30	50	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	20729	16062	0|0	1|1	2|2	3|3		0
20	6	120	30	50	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40	4	<i18n=37697>	<i18n=37491>	zhangshande	15	7040	5	20729	16062	0|0	1|1	2|2	3|3		0
41	6	120	30	50	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12490|10|2000;12491|40|2000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	23323	33291	0|0	1|1	2|2	3|3		0
42	6	120	30	50	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12490|10|2000;12491|40|2000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	23323	33291	0|0	1|1	2|2	3|3		0
43	6	120	30	50	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12490|10|2000;12491|40|2000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	23323	33291	0|0	1|1	2|2	3|3		0
44	6	120	30	50	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12490|10|2000;12491|40|2000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	23323	33291	0|0	1|1	2|2	3|3		0
45	6	120	30	50	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12490|10|2000;12491|40|2000	3	40	4	<i18n=37697>	<i18n=37491>	zhangshande	15	7040	5	23323	33291	0|0	1|1	2|2	3|3		0
66	6	120	30	50	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12492|10|2000;12493|40|2000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	18777	23885	0|0	1|1	2|2	3|3		0
67	6	120	30	50	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12492|10|2000;12493|40|2000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	18777	23885	0|0	1|1	2|2	3|3		0
68	6	120	30	50	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12492|10|2000;12493|40|2000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	18777	23885	0|0	1|1	2|2	3|3		0
69	6	120	30	50	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12492|10|2000;12493|40|2000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	18777	23885	0|0	1|1	2|2	3|3		0
70	6	120	30	50	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12492|10|2000;12493|40|2000	3	40	4	<i18n=37697>	<i18n=37491>	zhangshande	15	7040	5	18777	23885	0|0	1|1	2|2	3|3		0
91	6	120	30	50	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12494|10|2000;12495|40|2000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	21584	26882	0|0	1|1	2|2	3|3		0
92	6	120	30	50	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12494|10|2000;12495|40|2000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	21584	26882	0|0	1|1	2|2	3|3		0
93	6	120	30	50	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12494|10|2000;12495|40|2000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	21584	26882	0|0	1|1	2|2	3|3		0
94	6	120	30	50	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12494|10|2000;12495|40|2000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	21584	26882	0|0	1|1	2|2	3|3		0
95	6	120	30	50	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12494|10|2000;12495|40|2000	3	40	4	<i18n=37697>	<i18n=37491>	zhangshande	15	7040	5	21584	26882	0|0	1|1	2|2	3|3		0
116	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	20729	16062	0|0	1|1	2|2	3|3		0
117	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	20729	16062	0|0	1|1	2|2	3|3		0
118	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	20729	16062	0|0	1|1	2|2	3|3		0
119	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	20729	16062	0|0	1|1	2|2	3|3		0
120	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40	4	<i18n=37697>	<i18n=37491>	zhangshande	15	7040	5	20729	16062	0|0	1|1	2|2	3|3		0
141	6	120	30	80	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12490|10|2000;12491|40|2000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	23323	33291	0|0	1|1	2|2	3|3		0
142	6	120	30	80	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12490|10|2000;12491|40|2000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	23323	33291	0|0	1|1	2|2	3|3		0
143	6	120	30	80	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12490|10|2000;12491|40|2000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	23323	33291	0|0	1|1	2|2	3|3		0
144	6	120	30	80	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12490|10|2000;12491|40|2000	3	40	4	<i18n=37697>	<i18n=37491>	nanyijisi|nanyiyongshi|tuzhuwunv|miaolingshoujun	15	7040	5	23323	33291	0|0	1|1	2|2	3|3		0
