nId	nOpenLevel	nDirectLevel	nAwardId	nAwardKey	nProductId
1	59	49	1075	2	39
2	69	59	1075	3	40
3	79	69	1075	4	41
4	89	79	1075	5	42
5	99	89	1075	6	43
6	109	99	1075	7	44
7	119	109	1075	8	45
8	129	119	1075	9	46
9	139	129	1075	10	104
10	149	139	1075	11	105
11	159	149	1075	12	106
12	169	159	1075	13	107
13	179	169	1075	14	108
14	189	179	1075	15	109
15	199	189	1075	16	110
16	209	199	1075	17	127
17	219	209	1075	18	128
18	229	219	1075	19	129
19	239	229	1075	20	130
20	249	239	1075	21	131
21	259	249	1075	22	132
22	269	259	1075	23	133
23	279	269	1075	24	134
24	289	279	1075	25	135
25	299	289	1075	26	136
