nSkillId	nLevel	nPlayerLevel	nCost
1	2	30	1000
1	3	40	2000
1	4	50	3000
1	5	60	4000
1	6	70	5000
1	7	80	6000
1	8	90	7000
1	9	100	8000
1	10	110	9000
2	2	30	1000
2	3	40	2000
2	4	50	3000
2	5	60	4000
2	6	70	5000
2	7	80	6000
2	8	90	7000
2	9	100	8000
2	10	110	9000
3	2	30	1000
3	3	40	2000
3	4	50	3000
3	5	60	4000
3	6	70	5000
3	7	80	6000
3	8	90	7000
3	9	100	8000
3	10	110	9000
4	2	30	1000
4	3	40	2000
4	4	50	3000
4	5	60	4000
4	6	70	5000
4	7	80	6000
4	8	90	7000
4	9	100	8000
4	10	110	9000
1	11	120	10000
1	12	130	11000
1	13	140	12000
1	14	150	13000
1	15	160	14000
1	16	170	15000
1	17	180	16000
1	18	190	17000
2	11	120	10000
2	12	130	11000
2	13	140	12000
2	14	150	13000
2	15	160	14000
2	16	170	15000
2	17	180	16000
2	18	190	17000
3	11	120	10000
3	12	130	11000
3	13	140	12000
3	14	150	13000
3	15	160	14000
3	16	170	15000
3	17	180	16000
3	18	190	17000
4	11	120	10000
4	12	130	11000
4	13	140	12000
4	14	150	13000
4	15	160	14000
4	16	170	15000
4	17	180	16000
4	18	190	17000
1	19	200	18000
1	20	210	19000
1	21	220	20000
1	22	230	21000
1	23	240	22000
1	24	250	23000
1	25	260	24000
1	26	270	25000
1	27	280	26000
1	28	290	27000
2	19	200	18000
2	20	210	19000
2	21	220	20000
2	22	230	21000
2	23	240	22000
2	24	250	23000
2	25	260	24000
2	26	270	25000
2	27	280	26000
2	28	290	27000
3	19	200	18000
3	20	210	19000
3	21	220	20000
3	22	230	21000
3	23	240	22000
3	24	250	23000
3	25	260	24000
3	26	270	25000
3	27	280	26000
3	28	290	27000
4	19	200	18000
4	20	210	19000
4	21	220	20000
4	22	230	21000
4	23	240	22000
4	24	250	23000
4	25	260	24000
4	26	270	25000
4	27	280	26000
4	28	290	27000
