nRecipeId	szName	szDescParam	szIcon	nEquipPos	nSkill	nLevel	szCurrencyType	nCost	szCurrencyType2	nCost2	nMaterialId	nMaterialCount	nProduct1Id	nProduct1Rate	nProduct2Id	nProduct2Rate	nProduct3Id	nProduct3Rate	nGuaranteedProductId	nOtherId	nOtherNums	nOtherRate
1	<i18n=13951>	1	UI/icon/item/equip/weapon/obj-sword01.png	5	1	1	JingHuo	125	Coin	250	106	5	15001	760000	15011	200000	15021	40000	15021	136	1	400000
2	<i18n=15213>	30	UI/icon/item/equip/weapon/obj-sword02.png	5	1	2	JingHuo	150	Coin	300	107	5	15002	760000	15012	200000	15022	40000	15022	136	2	400000
3	<i18n=7152>	40	UI/icon/item/equip/weapon/obj-sword03.png	5	1	3	JingHuo	250	Coin	500	108	5	15003	760000	15013	200000	15023	40000	15023	136	2	400000
4	<i18n=1104>	50	UI/icon/item/equip/weapon/obj-sword04.png	5	1	4	JingHuo	400	Coin	800	109	5	15004	760000	15014	200000	15024	40000	15024	136	2	400000
5	<i18n=15611>	60	UI/icon/item/equip/weapon/obj-sword05.png	5	1	5	JingHuo	450	Coin	900	110	5	15005	760000	15015	200000	15025	40000	15025	136	2	400000
6	<i18n=15705>	70	UI/icon/item/equip/weapon/obj-sword06.png	5	1	6	JingHuo	500	Coin	1000	111	5	15006	760000	15016	200000	15026	40000	15026	136	3	400000
7	<i18n=7548>	80	UI/icon/item/equip/weapon/obj-sword07.png	5	1	7	JingHuo	550	Coin	1100	112	5	15007	760000	15017	200000	15027	40000	15027	136	3	400000
8	<i18n=14820>	90	UI/icon/item/equip/weapon/obj-sword08.png	5	1	8	JingHuo	600	Coin	1200	113	5	15008	760000	15018	200000	15028	40000	15028	136	3	400000
9	<i18n=7216>	100	UI/icon/item/equip/weapon/obj-sword09.png	5	1	9	JingHuo	650	Coin	1300	114	5	15009	760000	15019	200000	15029	40000	15029	136	3	400000
10	<i18n=1133>	110	UI/icon/item/equip/weapon/obj-sword10.png	5	1	10	JingHuo	700	Coin	1400	115	5	15010	760000	15020	200000	15030	40000	15030	136	4	400000
11	<i18n=9784>	5	UI/icon/item/equip/armor/obj-armor16.png	1	2	1	JingHuo	75	Coin	150	116	3	11001	760000	11011	200000	11021	40000	11021	146	1	400000
12	<i18n=2840>	35	UI/icon/item/equip/armor/obj-armor01.png	1	2	2	JingHuo	90	Coin	180	117	3	11002	760000	11012	200000	11022	40000	11022	146	2	400000
13	<i18n=11724>	45	UI/icon/item/equip/armor/obj-armor17.png	1	2	3	JingHuo	150	Coin	300	118	3	11003	760000	11013	200000	11023	40000	11023	146	2	400000
14	<i18n=8403>	55	UI/icon/item/equip/armor/obj-armor02.png	1	2	4	JingHuo	240	Coin	480	119	3	11004	760000	11014	200000	11024	40000	11024	146	2	400000
15	<i18n=8079>	65	UI/icon/item/equip/armor/obj-armor18.png	1	2	5	JingHuo	270	Coin	540	120	3	11005	760000	11015	200000	11025	40000	11025	146	2	400000
