nGiftType	nGiftId	szGiftName	nAwardId	nAwardKey	szTimeFrame	nGiftTriggerParam	nGiftLifeTime	szMoneyType	nPrice	nFullPrice	nMaxBuyCount
1	1	<i18n=4483>	1068	1	OpenLevel39	30	10800	Gold	288	2880	1
1	2	<i18n=10916>	1068	2	OpenLevel49	40	10800	Gold	328	3280	1
1	3	<i18n=2870>	1068	3	OpenLevel59	50	10800	Gold	388	3880	1
1	4	<i18n=707>	1068	4	OpenLevel69	60	10800	Gold	428	4280	1
1	5	<i18n=30514>	1068	5	OpenLevel69	65	10800	Gold	458	4580	1
1	6	<i18n=4505>	1068	6	OpenLevel79	70	10800	Gold	488	4880	1
1	7	<i18n=30512>	1068	7	OpenLevel79	75	10800	Gold	508	5080	1
1	8	<i18n=15177>	1068	8	OpenLevel89	80	10800	Gold	528	5280	1
1	9	<i18n=30464>	1068	9	OpenLevel89	83	10800	Gold	548	5480	1
1	10	<i18n=30491>	1068	10	OpenLevel89	86	10800	Gold	568	5680	1
1	11	<i18n=30515>	1068	11	OpenLevel89	89	10800	Gold	588	5880	1
1	12	<i18n=30494>	1068	11	OpenLevel99	92	10800	Gold	588	5880	1
1	13	<i18n=30457>	1068	12	OpenLevel99	95	10800	Gold	608	6080	1
1	14	<i18n=30493>	1068	12	OpenLevel99	98	10800	Gold	608	6080	1
1	15	<i18n=30484>	1068	13	OpenLevel109	101	10800	Gold	628	6280	1
1	16	<i18n=30504>	1068	13	OpenLevel109	103	10800	Gold	628	6280	1
1	17	<i18n=30517>	1068	13	OpenLevel109	105	10800	Gold	628	6280	1
1	18	<i18n=30465>	1068	13	OpenLevel109	107	10800	Gold	628	6280	1
1	19	<i18n=30463>	1068	13	OpenLevel109	109	10800	Gold	628	6280	1
1	20	<i18n=30468>	1068	13	OpenLevel119	111	10800	Gold	628	6280	1
1	21	<i18n=30479>	1068	13	OpenLevel119	113	10800	Gold	628	6280	1
1	22	<i18n=30495>	1068	13	OpenLevel119	115	10800	Gold	628	6280	1
1	23	<i18n=30472>	1068	13	OpenLevel119	117	10800	Gold	628	6280	1
1	24	<i18n=30513>	1068	13	OpenLevel119	119	10800	Gold	628	6280	1
1	25	<i18n=30509>	1068	13	OpenLevel129	121	10800	Gold	628	6280	1
1	26	<i18n=30471>	1068	13	OpenLevel129	123	10800	Gold	628	6280	1
1	27	<i18n=30478>	1068	13	OpenLevel129	125	10800	Gold	628	6280	1
1	28	<i18n=30485>	1068	13	OpenLevel129	127	10800	Gold	628	6280	1
1	29	<i18n=30467>	1068	13	OpenLevel129	129	10800	Gold	628	6280	1
1	30	<i18n=30511>	1068	13	OpenLevel139	131	10800	Gold	628	6280	1
1	31	<i18n=30498>	1068	13	OpenLevel139	133	10800	Gold	628	6280	1
1	32	<i18n=30483>	1068	13	OpenLevel139	135	10800	Gold	628	6280	1
1	33	<i18n=30503>	1068	13	OpenLevel139	137	10800	Gold	628	6280	1
1	34	<i18n=30521>	1068	13	OpenLevel139	139	10800	Gold	628	6280	1
1	35	<i18n=30466>	1068	13	OpenLevel149	141	10800	Gold	628	6280	1
1	36	<i18n=30510>	1068	13	OpenLevel149	143	10800	Gold	628	6280	1
1	37	<i18n=30506>	1068	13	OpenLevel149	145	10800	Gold	628	6280	1
1	38	<i18n=30507>	1068	13	OpenLevel149	147	10800	Gold	628	6280	1
1	39	<i18n=30473>	1068	13	OpenLevel149	149	10800	Gold	628	6280	1
1	40	<i18n=37625>	1068	13	OpenLevel159	151	10800	Gold	628	6280	1
1	41	<i18n=37628>	1068	13	OpenLevel159	153	10800	Gold	628	6280	1
1	42	<i18n=37633>	1068	13	OpenLevel159	155	10800	Gold	628	6280	1
1	43	<i18n=37631>	1068	13	OpenLevel159	157	10800	Gold	628	6280	1
1	44	<i18n=37614>	1068	13	OpenLevel159	159	10800	Gold	628	6280	1
1	45	<i18n=37618>	1068	13	OpenLevel169	161	10800	Gold	628	6280	1
1	46	<i18n=37640>	1068	13	OpenLevel169	163	10800	Gold	628	6280	1
1	47	<i18n=37619>	1068	13	OpenLevel169	165	10800	Gold	628	6280	1
1	48	<i18n=37635>	1068	13	OpenLevel169	167	10800	Gold	628	6280	1
1	49	<i18n=37616>	1068	13	OpenLevel169	169	10800	Gold	628	6280	1
1	50	<i18n=37637>	1068	13	OpenLevel179	171	10800	Gold	628	6280	1
1	51	<i18n=37634>	1068	13	OpenLevel179	173	10800	Gold	628	6280	1
1	52	<i18n=37622>	1068	13	OpenLevel179	175	10800	Gold	628	6280	1
1	53	<i18n=37626>	1068	13	OpenLevel179	177	10800	Gold	628	6280	1
1	54	<i18n=37627>	1068	13	OpenLevel179	179	10800	Gold	628	6280	1
1	55	<i18n=37638>	1068	13	OpenLevel189	181	10800	Gold	628	6280	1
1	56	<i18n=37617>	1068	13	OpenLevel189	183	10800	Gold	628	6280	1
1	57	<i18n=37632>	1068	13	OpenLevel189	185	10800	Gold	628	6280	1
1	58	<i18n=37636>	1068	13	OpenLevel189	187	10800	Gold	628	6280	1
1	59	<i18n=37621>	1068	13	OpenLevel189	189	10800	Gold	628	6280	1
1	60	<i18n=37623>	1068	13	OpenLevel199	191	10800	Gold	628	6280	1
1	61	<i18n=37624>	1068	13	OpenLevel199	193	10800	Gold	628	6280	1
1	62	<i18n=37615>	1068	13	OpenLevel199	195	10800	Gold	628	6280	1
1	63	<i18n=37639>	1068	13	OpenLevel199	197	10800	Gold	628	6280	1
1	64	<i18n=37630>	1068	13	OpenLevel199	199	10800	Gold	628	6280	1
1	65	<i18n=66575>	1068	13	OpenLevel209	201	10800	Gold	628	6280	1
1	66	<i18n=66551>	1068	13	OpenLevel209	203	10800	Gold	628	6280	1
1	67	<i18n=66541>	1068	13	OpenLevel209	205	10800	Gold	628	6280	1
1	68	<i18n=66536>	1068	13	OpenLevel209	207	10800	Gold	628	6280	1
1	69	<i18n=66587>	1068	13	OpenLevel209	209	10800	Gold	628	6280	1
1	70	<i18n=66588>	1068	13	OpenLevel219	211	10800	Gold	628	6280	1
1	71	<i18n=66556>	1068	13	OpenLevel219	213	10800	Gold	628	6280	1
1	72	<i18n=66583>	1068	13	OpenLevel219	215	10800	Gold	628	6280	1
1	73	<i18n=66562>	1068	13	OpenLevel219	217	10800	Gold	628	6280	1
1	74	<i18n=66540>	1068	13	OpenLevel219	219	10800	Gold	628	6280	1
1	75	<i18n=66560>	1068	13	OpenLevel229	221	10800	Gold	628	6280	1
1	76	<i18n=66553>	1068	13	OpenLevel229	223	10800	Gold	628	6280	1
1	77	<i18n=66538>	1068	13	OpenLevel229	225	10800	Gold	628	6280	1
1	78	<i18n=66548>	1068	13	OpenLevel229	227	10800	Gold	628	6280	1
1	79	<i18n=66584>	1068	13	OpenLevel229	229	10800	Gold	628	6280	1
1	80	<i18n=66545>	1068	13	OpenLevel239	231	10800	Gold	628	6280	1
1	81	<i18n=66558>	1068	13	OpenLevel239	233	10800	Gold	628	6280	1
1	82	<i18n=66544>	1068	13	OpenLevel239	235	10800	Gold	628	6280	1
1	83	<i18n=66563>	1068	13	OpenLevel239	237	10800	Gold	628	6280	1
1	84	<i18n=66582>	1068	13	OpenLevel239	239	10800	Gold	628	6280	1
1	85	<i18n=66572>	1068	13	OpenLevel249	241	10800	Gold	628	6280	1
1	86	<i18n=66546>	1068	13	OpenLevel249	243	10800	Gold	628	6280	1
1	87	<i18n=66565>	1068	13	OpenLevel249	245	10800	Gold	628	6280	1
1	88	<i18n=66555>	1068	13	OpenLevel249	247	10800	Gold	628	6280	1
1	89	<i18n=66577>	1068	13	OpenLevel249	249	10800	Gold	628	6280	1
1	90	<i18n=66568>	1068	13	OpenLevel259	251	10800	Gold	628	6280	1
1	91	<i18n=66557>	1068	13	OpenLevel259	253	10800	Gold	628	6280	1
1	92	<i18n=66543>	1068	13	OpenLevel259	255	10800	Gold	628	6280	1
1	93	<i18n=66564>	1068	13	OpenLevel259	257	10800	Gold	628	6280	1
1	94	<i18n=66569>	1068	13	OpenLevel259	259	10800	Gold	628	6280	1
1	95	<i18n=66554>	1068	13	OpenLevel269	261	10800	Gold	628	6280	1
1	96	<i18n=66537>	1068	13	OpenLevel269	263	10800	Gold	628	6280	1
1	97	<i18n=66539>	1068	13	OpenLevel269	265	10800	Gold	628	6280	1
1	98	<i18n=66571>	1068	13	OpenLevel269	267	10800	Gold	628	6280	1
1	99	<i18n=66547>	1068	13	OpenLevel269	269	10800	Gold	628	6280	1
1	100	<i18n=66576>	1068	13	OpenLevel279	271	10800	Gold	628	6280	1
1	101	<i18n=66561>	1068	13	OpenLevel279	273	10800	Gold	628	6280	1
1	102	<i18n=66579>	1068	13	OpenLevel279	275	10800	Gold	628	6280	1
1	103	<i18n=66542>	1068	13	OpenLevel279	277	10800	Gold	628	6280	1
1	104	<i18n=66550>	1068	13	OpenLevel279	279	10800	Gold	628	6280	1
1	105	<i18n=66559>	1068	13	OpenLevel289	281	10800	Gold	628	6280	1
1	106	<i18n=66567>	1068	13	OpenLevel289	283	10800	Gold	628	6280	1
1	107	<i18n=66570>	1068	13	OpenLevel289	285	10800	Gold	628	6280	1
1	108	<i18n=66581>	1068	13	OpenLevel289	287	10800	Gold	628	6280	1
1	109	<i18n=66574>	1068	13	OpenLevel289	289	10800	Gold	628	6280	1
1	110	<i18n=66586>	1068	13	OpenLevel299	291	10800	Gold	628	6280	1
1	111	<i18n=66552>	1068	13	OpenLevel299	293	10800	Gold	628	6280	1
1	112	<i18n=66578>	1068	13	OpenLevel299	295	10800	Gold	628	6280	1
1	113	<i18n=66585>	1068	13	OpenLevel299	297	10800	Gold	628	6280	1
1	114	<i18n=66580>	1068	13	OpenLevel299	299	10800	Gold	628	6280	1
2	1	<i18n=19132>	1069	1		750	10800	Gold	28	280	1
2	2	<i18n=19134>	1069	1		1950	10800	Gold	28	280	1
2	3	<i18n=19138>	1069	1		3500	10800	Gold	28	280	1
2	4	<i18n=19160>	1069	1		4400	10800	Gold	28	280	1
2	5	<i18n=19140>	1069	4		5300	10800	Gold	48	480	1
2	6	<i18n=19145>	1069	4		6200	10800	Gold	48	480	1
2	7	<i18n=19137>	1069	4		7600	10800	Gold	48	480	1
2	8	<i18n=19148>	1069	4		9000	10800	Gold	48	480	1
2	9	<i18n=19135>	1069	2		10200	10800	Gold	48	480	1
2	10	<i18n=19159>	1069	2		11400	10800	Gold	48	480	1
2	11	<i18n=19152>	1069	2		12600	10800	Gold	48	480	1
2	12	<i18n=19142>	1069	3		13800	10800	Gold	88	880	1
2	13	<i18n=19133>	1069	3		16000	10800	Gold	88	880	1
2	14	<i18n=19136>	1069	3		18200	10800	Gold	88	880	1
2	15	<i18n=19149>	1069	3		20500	10800	Gold	88	880	1
2	16	<i18n=19139>	1069	3		22800	10800	Gold	88	880	1
3	1	<i18n=19157>	1070	1		7	10800	Gold	188	1880	1
3	2	<i18n=19150>	1070	2		9	10800	Gold	488	4880	1
3	3	<i18n=19144>	1070	3		11	10800	Gold	688	6880	1
3	4	<i18n=19141>	1070	4		13	10800	Gold	888	8880	1
3	5	<i18n=19151>	1070	5		15	10800	Gold	1088	10880	1
4	1	<i18n=19163>	1071	1		500	10800	Gold	28	280	1
