Type	PosX	PosY
MONSTER	28119	19433
MONSTER	11289	26432
MONSTER	9918	25094
MONSTER	13295	27990
MONSTER	13370	24699
MONSTER	11719	22817
MONSTER	16607	15009
MONSTER	27051	15837
MONSTER	17604	26906
MONSTER	7612	22914
MONSTER	9741	23224
MONSTER	13220	22291
MONSTER	6511	20364
MONSTER	8234	20929
MONSTER	8462	18172
MONSTER	12029	18921
MONSTER	12014	15470
MONSTER	10144	17163
MONSTER	13770	16141
MONSTER	12843	13024
MONSTER	10356	21017
MONSTER	15269	23154
MONSTER	18533	9055
MONSTER	16715	30102
MONSTER	23225	26037
MONSTER	16813	32213
MONSTER	30544	19969
MONSTER	18755	34124
MONSTER	20194	28297
MONSTER	21694	36117
MONSTER	20700	31658
MONSTER	26209	34159
MONSTER	26423	31253
MONSTER	18969	15875
MONSTER	27025	26541
MONSTER	27293	22163
MONSTER	24075	28498
MONSTER	25819	28005
MONSTER	21823	31087
MONSTER	25208	31107
MONSTER	22331	33209
MONSTER	20103	35377
MONSTER	15469	25895
MONSTER	21205	14643
MONSTER	18346	12329
MONSTER	15250	18513
MONSTER	15700	11561
MONSTER	21031	6883
MONSTER	18290	14269
MONSTER	22840	4601
MONSTER	24344	6451
MONSTER	24159	9968
MONSTER	22846	13064
MONSTER	17030	19637
MONSTER	22034	10060
MONSTER	20194	10787
MONSTER	27134	9120
MONSTER	26683	11666
MONSTER	24950	12854
MONSTER	28081	14994
MONSTER	31428	14455
MONSTER	30914	23069
MONSTER	29676	12563
MONSTER	32579	16048
MONSTER	33118	27057
MONSTER	34689	23975
MONSTER	39408	20533
MONSTER	36053	19992
MONSTER	35030	26718
MONSTER	33467	28590
MONSTER	29223	28475
MONSTER	28967	25926
MONSTER	32337	23053
MONSTER	33716	22805
MONSTER	27136	29047
MONSTER	29237	31155
MONSTER	27196	33821
MONSTER	32715	30126
MONSTER	36151	16848
MONSTER	36388	23179
MONSTER	32887	19729
MONSTER	34290	18237
MONSTER	37656	19455
MONSTER	22713	37139
MONSTER	29191	18013
MONSTER	29442	23302
MONSTER	28147	32325
MONSTER	24414	36693
MONSTER	23223	30740
MONSTER	18593	31699
MONSTER	15216	29713
MONSTER	18896	29817
MONSTER	23193	17734
MONSTER	23619	34210
MONSTER	25092	14870
MONSTER	18874	21872
MONSTER	30972	26895
MONSTER	34440	14833
MONSTER	25609	8832
MONSTER	31224	30194
BOSS	23438	22597
TRAP	35320	32384
TRAP2	23492	22656
