Batch	NpcType	NpcTemplateId	PosX	PosY
1	0	7114	11731	23036
1	0	7115	11401	21828
1	0	7114	10502	22056
1	0	7114	11252	20414
1	0	7114	12269	21174
1	0	7114	11975	30661
1	0	7114	10702	29717
1	0	7114	10129	30853
1	0	7114	11099	32616
1	0	7114	19835	24383
1	0	7115	20791	25112
1	0	7115	11080	31044
1	0	7115	18641	37158
1	0	7115	11552	43272
1	0	7114	20475	26888
1	0	7114	21881	25491
1	0	7114	21284	23653
1	0	7114	18439	38915
1	0	7114	19570	37728
1	0	7114	19075	35743
1	0	7114	17690	36305
1	0	7114	10688	43030
1	0	7114	12285	44463
1	0	7114	12404	43248
1	0	7114	10670	41487
1	4	9003	23298	28713
2	2	7115	33624	24854
2	2	7116	34749	23416
2	2	7115	35396	24990
2	2	7115	33647	22106
2	2	7115	35022	21563
2	2	7115	36163	22489
2	4	9003	23235	41137
3	2	7115	26257	45845
3	2	7115	25996	48180
3	2	7115	25103	46753
3	2	7115	27012	44205
3	2	7115	27907	46108
3	2	7117	26897	46905
4	4	7118	31174	47371
5	4	10005	32516	47591
