Name	PosX	PosY	ToFightState
1exit3	35096	32246	0
1exit4	49259	20747	0
1exit2	24277	42828	0
2exit1	14737	54917	0
3exit2	24297	42794	0
2exit4	49289	20657	0
3exit1	14810	55142	0
2exit3	35095	32227	0
3exit4	49294	20664	0
4exit1	14524	55286	0
4exit3	35128	32207	0
4exit2	24271	42799	0
1exitwai	25161	64638	1
2exitwai	35535	53598	1
3exitwai	45600	42595	1
4exitwai	55512	31630	1
1huiying	14676	55084	0
2huiying	24267	42750	0
3huiying	35091	32229	0
4huiying	49315	20668	0
chengmenzhangai	60870	67661	1
chengmenzhangai2	64392	71809	1
