NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType
<i18n=6984>	7039	70		24000	24443	0	0	191	-1	0	0			1
<i18n=3358>	7262	70		14191	41721	0	0	191	-1	0	0			1
<i18n=3358>	7262	70		12645	38858	0	0	191	-1	0	0			1
<i18n=3358>	7262	70		8740	40187	0	0	191	-1	0	0			1
<i18n=3358>	7262	70		10347	43111	0	0	191	-1	0	0			1
<i18n=3358>	7262	70		10181	37376	0	0	191	-1	0	0			1
<i18n=2333>	7263	70		39679	37018	0	0	191	-1	0	0			1
<i18n=2333>	7263	70		33278	35996	0	0	191	-1	0	0			1
<i18n=1911>	7264	70		25018	52606	0	0	191	-1	0	0			1
<i18n=14014>	7279	70		23139	26528	0	0	191	-1	0	0			1
<i18n=14014>	7279	70		24897	21404	0	0	191	-1	0	0			1
