NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType	ShowName	LevelSettingKey
<i18n=838>	9134	90		104586	112749	0	0	191	-1	0	0			1		
<i18n=16296>	9132	90		61006	123779	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		35845	79792	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		31919	81804	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		30169	79307	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		33232	74584	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		31832	79995	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		34424	82157	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		33080	82285	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		34648	78243	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		31393	78137	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		33058	78121	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		30379	80820	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		35509	81717	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		34794	74453	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		33976	76285	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		35610	75849	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		44794	52292	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		45076	46381	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		47858	48144	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		46437	48690	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		44047	46117	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		45519	44976	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		46605	44721	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		49305	47593	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		47860	51558	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		46443	52343	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		43567	48479	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		48049	46068	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		44785	48329	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		48895	51804	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		46425	50582	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		52318	33408	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		54856	37142	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		51011	37648	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		50613	33791	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		52145	35151	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		51051	30906	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		49561	31828	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		50923	32309	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		53923	32357	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		53335	37230	0	0	191	-1	0	0			1		
<i18n=14982>	9135	90		53947	33994	0	0	191	-1	0	0			1		
