NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType	ShowName	LevelSettingKey
<i18n=9151>	9027	50		36700	106956	0	0	191	-1	0	0			1		maplevel150	
<i18n=7291>	9025	50		16242	76622	0	0	191	-1	0	0			1		maplevel150	
<i18n=1649>	9026	50		97509	117467	0	0	191	-1	0	0			1		maplevel150	
<i18n=7735>	7189	1		83321	105378	0	0	191	-1	0	0			1	
<i18n=9151>	9027	50		34744	103790	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		35163	101989	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		35709	105291	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		35076	108703	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		33696	107199	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		34745	106956	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		33775	103209	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		37767	107160	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		36902	103578	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		38026	103573	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		36463	108736	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		36717	102083	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		38169	105374	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		21817	94873	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		19328	94990	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		17993	98298	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		17790	95837	0	0	191	-1	0	0			1		maplevel150	
<i18n=9151>	9027	50		18547	94171	0	0	191	-1	0	0			1		maplevel150	
