NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType	ShowName	LevelSettingKey
<i18n=11567>	9192	60		31656	119577	0	0	191	-1	0	0			1		maplevel160
<i18n=7627>	9194	60		107985	105740	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		28352	120247	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		26374	116830	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		31409	112705	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		32867	114619	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		28189	114399	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		30905	118197	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		32638	117594	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		26555	114462	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		28058	118241	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		29736	112337	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		44553	129132	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		44583	127108	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		46908	133802	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		43264	131745	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		46125	126746	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		48695	130626	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		45524	134156	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		46974	131865	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		42984	130057	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		47869	127126	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		44662	131933	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		79312	121734	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		73895	124455	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		75372	129646	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		73940	126726	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		74470	128653	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		74765	122323	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		76127	123294	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		78625	127952	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		77784	121187	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		77070	130053	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		75958	121626	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		80042	128499	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		66914	112255	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		67022	116971	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		68016	114325	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		64651	109222	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		65880	108133	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		67940	108165	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		70147	115269	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		69379	108815	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		63769	110888	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		70317	112458	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		69941	110333	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		68051	110135	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		28863	94942	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		25661	93274	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		25190	91140	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		25403	88874	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		30016	86886	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		31738	87920	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		30705	94475	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		27504	88763	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		28697	90347	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		27393	92628	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		31873	89814	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		31593	92137	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		28932	76616	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		27490	75640	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		32495	70685	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		30109	72788	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		31794	75708	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		28717	74526	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		30689	76994	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		31233	69703	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		33250	74314	0	0	191	-1	0	0			1		maplevel160
<i18n=11567>	9192	60		29526	69311	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		45686	66431	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		44293	68917	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		40626	66419	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		40625	64117	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		42410	63585	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		44639	63156	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		42072	67254	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		45168	67947	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		43607	61796	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		45432	62306	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		43435	65066	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		51048	54562	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		53001	58144	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		50061	58915	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		49989	53812	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		51541	53125	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		54239	55310	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		54520	56750	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		52152	56162	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		53114	54960	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		49710	57382	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		52771	59725	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		52898	53374	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		50937	59851	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		60542	49988	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		57760	49801	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		56343	46784	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		58617	42953	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		60433	42821	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		59332	46298	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		62174	46746	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		60822	44195	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		56601	44436	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		60549	47980	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		87455	63660	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		85017	60182	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		88709	54217	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		90367	60834	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		91311	57073	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		86152	63100	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		92812	60602	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		89193	63770	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		92024	62026	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		85313	57057	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		88692	60726	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		86898	60331	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		103078	49427	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		104488	49161	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		100671	47232	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		100653	44715	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		105464	43409	0	0	191	-1	0	0			1		maplevel160
<i18n=12946>	9193	60		102259	46948	0	0	191	-1	0	0			1		maplevel160
