nType	nIndex	PosX	PosY
1	1	20458	153520
1	2	32650	160823
1	3	115041	167824
1	4	129754	153528
1	5	131131	41497
1	6	119092	31797
1	7	30901	35032
1	8	16780	46442
2	1	26247	140892
2	2	40805	155722
2	3	109136	155466
2	4	126724	142123
2	5	126682	55274
2	6	109539	39103
2	7	41365	42184
2	8	26749	56597
3	1	16408	123305
3	2	53209	158903
3	3	97725	164912
3	4	130988	129493
3	5	135153	64358
3	6	100714	30924
3	7	48641	31409
3	8	21362	70269
4	1	50685	132374
4	2	37909	127238
4	3	32811	106421
4	4	60835	142737
4	5	64766	124792
5	1	104678	114651
5	2	125404	109258
5	3	88608	156286
5	4	110807	129660
5	5	103243	141126
6	1	102502	57029
6	2	112602	68115
6	3	125370	86036
6	4	84599	38517
6	5	101883	87397
7	1	49539	58937
7	2	39455	71683
7	3	27388	87665
7	4	64958	45242
7	5	57351	65833
8	1	44261	101447
8	2	74139	137789
8	3	111530	95629
8	4	75951	58222
