Index	PosX	PosY	nAwardKey
1	41857	93390	5
2	42613	90981	5
3	43969	89291	5
4	45353	88099	5
5	47208	86388	5
6	48709	84140	5
7	50100	82549	5
8	51587	80834	5
9	53458	78993	5
10	56706	75793	5
11	58770	73671	5
12	60359	72076	5
13	61280	68862	7
14	59577	67033	7
15	58170	65036	7
16	56302	62925	7
17	57569	60307	7
18	59306	58736	7
19	61225	57395	7
20	63234	57289	7
21	64979	57472	7
22	66575	59675	7
23	67737	61926	7
24	69193	64125	8
25	70669	65722	8
26	70122	68991	8
27	71829	72680	8
28	73865	75493	8
29	75824	78398	8
30	78004	80051	8
31	79725	81783	8
32	81460	83802	8
33	83809	85514	8
34	85818	87329	8
35	87940	89562	8
36	90352	92363	8
37	92601	94171	8
38	93678	97610	8
