NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	ShowName	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType
<i18n=9474>	7015	1		75914	69602	0	1	<i18n=9474>	191	-1	0	0			
<i18n=18541>	22	1		44804	93216	0	1	<i18n=18535>	191	-1	0	0			
<i18n=12269>	11	1		78919	64654	0	1	<i18n=18542>	191	-1	0	0			
<i18n=6809>	13	1		58560	97967	0	0	<i18n=18543>	191	-1	0	0			
<i18n=15673>	8	1		62968	75268	0	0	<i18n=18545>	191	-1	0	0			
<i18n=1614>	10	1		53116	111194	0	1	<i18n=18540>	191	-1	0	0			
<i18n=14502>	15	1		84143	51372	0	1	<i18n=18546>	130	-1	0	0			
<i18n=12275>	12	1		61018	52536	0	1	<i18n=18547>	191	-1	0	0			
<i18n=14844>	7001	1		53420	85302	0	1	<i18n=14844>	191	-1	0	0			
<i18n=12683>	14	1		57617	78060	0	1	<i18n=18536>	130	-1	0	0			
<i18n=9275>	7201	1		48616	72181	0	1	<i18n=9275>	160	-1	0	0			
<i18n=4164>	11041	1		53223	63421	0	1	<i18n=8354>	191	-1	0	0			
<i18n=358>	33	1		43013	55150	0	0	<i18n=358>	191	-1	0	0			
<i18n=13812>	7171	1		35882	60842	0	0	<i18n=13812>	191	-1	0	0			
<i18n=4953>	7155	1		14638	76581	0	0	<i18n=4953>	191	-1	0	0			
<i18n=8634>	7208	1		100041	89342	0	0	<i18n=8634>	191	-1	0	0			
<i18n=6772>	7209	1		98421	89044	0	0	<i18n=6772>	191	-1	0	0			
<i18n=10393>	12077	1		106868	107698	0	0	<i18n=10393>	191	-1	0	0			
<i18n=85>	12078	1		94040	33712	0	0	<i18n=85>	191	-1	0	0			
<i18n=1993>	12079	1		30853	99955	0	0	<i18n=1993>	191	-1	0	0			
<i18n=2572>	12103	1		64263	64363	0	1	<i18n=13136>	160	-1	0	0			
<i18n=6826>	9255	1		71357	54800	0	1	<i18n=6826>	220	-1	0	0			
<i18n=25013>	12269	1	42	76782	99401	0	1	<i18n=25014>	160	-1	0	0			
<i18n=28517>	38	1	195	94300	74394	0	1	<i18n=28214>	160	-1	0	0			1
