Name	VarName	PosX	PosY
喽啰头目	MinionBoss	44096	75883
监工头领	OverwatchChief	76823	73058
监工	Overwatch	75232	76012
监工	Overwatch	73645	73506
监工	Overwatch	77297	77733
监工	Overwatch	78511	75538
监工	Overwatch	75138	71181
采石匠	Quarry	51969	28700
采石匠	Quarry	50282	28300
采石匠	Quarry	50380	23354
采石匠	Quarry	48983	27067
采石匠	Quarry	51564	26778
大工匠	GrandArtisan	39674	37297
切石器	StoneCutter	44897	32950
枫树	Maple	43599	102198
机关2	Gear2	84152	103515
船	Boat	83934	59193
野狼	WildWolf	33658	86426
野狼	WildWolf	34504	86394
野狼	WildWolf	32207	86258
野狼	WildWolf	34345	87150
野狼	WildWolf	33644	88186
野狼	WildWolf	33635	87273
黄狼	YellowWolf	41815	100096
黄狼	YellowWolf	43986	99597
黄狼	YellowWolf	42549	98212
黄狼	YellowWolf	45740	99520
黄狼	YellowWolf	45735	101106
野人猎手	SavageHunter	42844	101289
野人猎手	SavageHunter	44536	101987
喽啰	Minion	52834	94726
喽啰	Minion	52748	93918
喽啰	Minion	52304	94874
魔音鼓	MagicDrum	43386	78208
魔音鼓	MagicDrum	45407	77679
魔音鼓	MagicDrum	42729	74528
魔音鼓	MagicDrum	45032	73898
牢门1	Gate1	71280	121981
牢门2	Gate2	79768	99206
苦工	HardLabor	70312	128953
苦工	HardLabor	84248	104560
矿道入口	MineEntrance	54146	75345
传送点	TeleportPoint	53785	74881
野狼	WildWolf	31131	97375
野狼	WildWolf	31475	98087
苦工	HardLabor	75669	96360
苦工	HardLabor	73891	115131
黄狼	YellowWolf	71454	114844
黄狼	YellowWolf	74495	118391
黄狼	YellowWolf	72634	117262
黄狼	YellowWolf	76794	97620
黄狼	YellowWolf	76962	95684
黄狼	YellowWolf	76379	94098
机关1	Gear1	70664	127924
