NpcTemplateId	PosX	PosY	nPhase	szType	bEnd
13524	42782	75691	2	zhuzi	
13524	8191	51594	2	zhuzi	
13524	42095	27898	2	zhuzi	
13524	56578	46146	2	zhuzi	
10000	40424	60864	2	Trap	
13521	41666	77339	2	monster	
13522	34820	83732	2	monster	
13521	22538	77201	2	monster	
13522	16613	69528	2	monster	
13522	8574	49956	2	monster	
13523	31397	76308	2	monster	
13522	30182	26511	2	monster	
13521	64421	56095	2	monster	
13521	30597	38654	2	monster	
13522	52857	60675	2	monster	
13523	45703	51379	2	monster	
13523	38804	43514	2	monster	
13523	41685	74586	2	monster	
13522	42995	73737	2	monster	
13523	55959	44628	2	monster	
13521	55471	46535	2	monster	
13522	57432	46866	2	monster	
13521	8864	53044	2	monster	
13523	6991	51561	2	monster	
13521	40607	28033	2	monster	
13522	41852	28986	2	monster	
13523	43204	27960	2	monster	
13521	11645	63168	2	monster	
13523	17702	55390	2	monster	
