Name	PosX	PosY
KeyMonster	17010	68060
KeyMonster	14707	62683
KeyMonster	15706	58300
KeyMonster	20472	63227
KeyMonster	18499	68989
KeyMonster	17664	56209
KeyMonster	22228	62066
KeyMonster	25513	62792
KeyMonster	22947	65741
KeyMonster	20743	67017
KeyMonster	12376	62402
KeyMonster	14268	60125
KeyMonster	14213	66804
KeyMonster	18490	65799
KeyMonster	16107	60418
KeyMonster	18009	58596
KeyMonster	30921	84507
KeyMonster	31326	80621
KeyMonster	29352	82289
KeyMonster	38010	85520
KeyMonster	34231	87551
KeyMonster	43823	82598
KeyMonster	36643	75423
KeyMonster	19564	57555
KeyMonster	16149	63900
KeyMonster	36610	89972
KeyMonster	33152	78767
KeyMonster	38654	88378
KeyMonster	39425	77135
KeyMonster	35082	77008
KeyMonster	41686	80827
KeyMonster	41590	85053
KeyMonster	52376	67406
KeyMonster	56069	67112
KeyMonster	56387	63956
KeyMonster	51552	62216
KeyMonster	57699	61640
KeyMonster	54879	58884
KeyMonster	57678	58882
KeyMonster	56383	59800
KeyMonster	53400	60769
KeyMonster	59664	62412
KeyMonster	49095	61247
KeyMonster	48067	63035
KeyMonster	54198	69187
KeyMonster	50162	65298
KeyMonster	57880	64678
KeyMonster	53104	63774
KeyMonster	46835	30962
KeyMonster	48922	32808
KeyMonster	48292	29002
KeyMonster	52559	28769
KeyMonster	52277	32339
KeyMonster	50623	34406
KeyMonster	48351	24962
KeyMonster	53612	24657
KeyMonster	55048	28980
KeyMonster	44790	29538
KeyMonster	42683	27722
KeyMonster	44377	26153
KeyMonster	53653	30704
KeyMonster	56539	26991
KeyMonster	49841	20656
KeyMonster	51633	22638
KeyMonster	27342	25706
KeyMonster	22102	21837
KeyMonster	17861	24656
KeyMonster	15750	27498
KeyMonster	20842	31671
KeyMonster	23171	34097
KeyMonster	27085	23058
KeyMonster	23267	19804
KeyMonster	20558	25265
KeyMonster	20450	29718
KeyMonster	25070	25398
KeyMonster	28745	29123
KeyMonster	26668	28276
KeyMonster	24995	28732
KeyMonster	17859	29694
KeyMonster	17243	28155
KeyFightTrap	33844	85305
KeyFightTrap	39314	79097
KeyFightTrap	20838	59475
KeyFightTrap	15329	65539
KeyFightTrap	20191	23973
KeyFightTrap	25685	29949
KeyFightTrap	47462	30049
KeyFightTrap	53006	23707
KeyFightTrap	52167	59581
KeyFightTrap	57701	65557
