Type	PosX	PosY
PILLAR_1	52270	126245
SOLDIER	53825	126743
SOLDIER	53633	124111
SOLDIER	51941	124039
SOLDIER	50202	125673
SOLDIER	51120	128049
SOLDIER	52924	129061
OFFICER	53109	125350
OFFICER	51382	125738
OFFICER	52389	127441
PILLAR_2	25622	92902
SOLDIER	27249	93081
SOLDIER	26600	90829
SOLDIER	24908	91000
SOLDIER	23708	92920
SOLDIER	24506	94726
SOLDIER	26216	95277
OFFICER	26304	92121
OFFICER	24678	92313
OFFICER	25527	94047
PILLAR_3	43615	98098
SOLDIER	45292	97881
SOLDIER	44104	96132
SOLDIER	42285	96509
SOLDIER	41610	99021
SOLDIER	42582	100407
SOLDIER	44688	100572
OFFICER	44209	97251
OFFICER	42519	97767
OFFICER	43734	99482
FRONT_1	36273	117036
FRONT_2	40485	77486
