Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	ZPos	StandDir	NpcSeriesAuto	Quantity	NpcType	NpcCamp	nShareType	ShowName	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	LevelSettingKey
	<i18n=8300>		3046			50	23722	94290	0	0	-1	-1	0	0	1						maplevel150
	<i18n=12743>		3044			50	91334	23029	0	0	-1	-1	0	0	1						maplevel150
	<i18n=2299>	5	3168		0	55	25165	79968	0	191	-1										
	<i18n=3191>	5	3169		0	55	34197	76433	0	191	-1										
	<i18n=749>	5	3170		0	55	79571	77506	0	191	-1										
	<i18n=16371>	5	3171		0	55	36190	145109	0	191	-1										
	<i18n=1924>	5	3172		0	55	20178	107707	0	191	-1										
	<i18n=9621>	5	3173		0	55	59613	61011	0	191	-1										
	<i18n=11962>	5	3174		0	55	96898	59596	0	191	-1										
	<i18n=12386>	5	3175		0	55	61534	81828	0	191	-1										
	<i18n=3766>	5	3176		0	55	32799	122731	0	191	-1										
	<i18n=12000>	5	3177		0	55	34547	113711	0	191	-1										
	<i18n=4349>	5	3178		0	55	91923	45517	0	191	-1										
	<i18n=15347>	5	3179		0	55	57137	71598	0	191	-1										
	<i18n=143>		7147		0	1	88824	76120	0	160	-1										
	<i18n=958>		3045			50	109132	103917	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	110685	98083	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	105552	103239	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	104987	98668	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	106926	104362	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	110542	102573	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	104917	100235	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	109806	98880	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	106418	97175	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	107808	97019	0	191	-1	-1	0	0	1						maplevel150
	<i18n=958>		3045			50	77674	103541	0	191	-1	-1	0	0	1						maplevel150
