NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle
<i18n=9211>	7215	1		17014	20268	0	0	191	-1	0	0		
<i18n=437>	7246	1		16175	20205	0	0	191	-1	0	0		
<i18n=10993>	7239	1		16557	18788	0	0	191	-1	0	0		
<i18n=11633>	26	1		14596	19217	0	0	191	-1	0	0		
<i18n=11469>	27	1		16301	17009	0	0	100	-1	0	0		
<i18n=12744>	7248	1		13342	17886	0	0	191	-1	0	0		
<i18n=12744>	7248	1		15115	15573	0	0	100	-1	0	0		
<i18n=10649>	7249	1		12229	16723	0	0	191	-1	0	0		
<i18n=10649>	7249	1		14103	14155	0	0	100	-1	0	0		
<i18n=12744>	7248	1		10858	15457	0	0	191	-1	0	0		
<i18n=12744>	7248	1		9482	14141	0	0	191	-1	0	0		
<i18n=12744>	7248	1		11410	11601	0	0	100	-1	0	0		
<i18n=12744>	7248	1		12820	13086	0	0	100	-1	0	0		
<i18n=12744>	7248	1		8283	12959	0	0	191	-1	0	0		
<i18n=12744>	7248	1		10022	10351	0	0	100	-1	0	0		
