Type	PosX	PosY
PILLAR_1	70707	85751
SOLDIER	72262	86313
SOLDIER	72070	83681
SOLDIER	70378	83545
SOLDIER	68639	85179
SOLDIER	69557	87555
SOLDIER	71361	88567
OFFICER	71546	84920
OFFICER	69819	85244
OFFICER	70826	86947
PILLAR_2	105104	59414
SOLDIER	106731	59673
SOLDIER	106082	57421
SOLDIER	104390	57432
SOLDIER	103190	59352
SOLDIER	103988	61238
SOLDIER	105698	61869
OFFICER	105786	58633
OFFICER	104160	58825
OFFICER	105009	60559
PILLAR_3	66992	40488
SOLDIER	68669	40271
SOLDIER	67481	38522
SOLDIER	65662	38899
SOLDIER	64987	41411
SOLDIER	65959	42797
SOLDIER	68065	42962
OFFICER	67586	39641
OFFICER	65896	40157
OFFICER	67111	41872
FRONT_2	94619	82056
FRONT_1	52044	46032
