NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType	ShowName	LevelSettingKey
<i18n=11615>	9023	70		37491	126867	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		40179	132252	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		41405	125675	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		40928	123911	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		38389	124356	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		39144	125712	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		38844	129392	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		41979	131781	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		42324	124455	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		42934	126130	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		39903	123620	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		41673	129405	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		43795	143587	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		43440	141509	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		46385	145152	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		48802	141758	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		48593	143300	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		43824	139341	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		44459	144897	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		47484	138670	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		46378	138175	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		45071	139786	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		44890	143162	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		46992	139529	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		47426	144565	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		55731	152544	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		56986	153343	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		58153	153121	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		59585	146156	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		60113	147731	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		58637	150936	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		55014	150720	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		56627	151122	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		60201	149459	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		56861	145658	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		59774	151096	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		56627	147599	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		55158	148482	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		68319	139296	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		71400	139108	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		72036	137761	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		69298	139630	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		69169	133642	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		67804	133740	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		67422	135916	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		70142	135826	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		69083	137652	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		71920	131945	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		69120	132119	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		70348	131711	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		72454	133732	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		70353	112870	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		71464	113340	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		72825	112849	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		72847	105747	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		71023	105554	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		69748	106187	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		68770	108063	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		72534	110921	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		74241	109967	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		73962	106806	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		70022	110561	0	0	191	-1	0	0			1		maplevel170
<i18n=11615>	9023	70		72626	107583	0	0	191	-1	0	0			1		maplevel170
