NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType
<i18n=11797>	9228	80		35805	76347	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		117673	62523	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		50349	146759	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		49217	146201	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		50643	142586	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		47780	141288	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		48972	139467	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		50334	139223	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		51431	139190	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		54056	143639	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		52759	143059	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		51872	146232	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		53496	141395	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		48703	142648	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		52197	141038	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		49535	140632	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		51743	144567	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		28172	137659	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		25290	137702	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		23585	134570	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		24653	130559	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		28902	130262	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		30567	133915	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		30103	135801	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		30101	131765	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		27654	129733	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		27475	131263	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		27026	135721	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		26135	129697	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		26448	137915	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		25356	131857	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		29035	132288	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		85275	101273	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		82986	101435	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		83718	99682	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		80472	95842	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		84795	92524	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		86754	95368	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		85206	94829	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		81998	96693	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		81658	101166	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		86396	99849	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		81944	99204	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		85278	99339	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		85356	96691	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		82974	92733	0	0	191	-1	0	0			1
<i18n=7163>	9225	80		86253	93566	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		33225	75837	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		32642	72914	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		36942	70865	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		32894	71292	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		35672	70461	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		37864	74419	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		34422	76549	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		37184	69156	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		34585	68856	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		32791	74622	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		35247	74806	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		37124	75634	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		36015	68741	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		37964	72455	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		60097	44087	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		54258	45164	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		55492	46539	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		54866	49353	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		58000	42229	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		59187	42888	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		58428	50451	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		60323	48374	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		55080	43499	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		56875	50816	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		55827	50087	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		58897	44741	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		41897	58219	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		43711	55792	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		40137	55755	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		40135	52357	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		44808	54853	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		41426	51720	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		40817	59651	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		44513	52554	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		41927	55953	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		39089	57718	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		42040	53285	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		40593	57948	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		43232	57584	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		43603	53848	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		40749	53815	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		85450	34558	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		88113	36530	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		90043	32746	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		86755	32358	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		85154	33038	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		88308	28674	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		89636	28964	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		90837	29612	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		91536	31644	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		89422	36503	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		85527	31036	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		90630	35345	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		87126	30522	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		88569	30285	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		86739	29244	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		115917	63034	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		114409	62828	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		112683	59046	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		112698	56803	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		113992	54805	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		118568	55039	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		119781	55485	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		119656	60143	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		118971	62203	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		117052	54043	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		118090	60932	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		115492	54054	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		114359	58603	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		118166	56638	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		103587	45215	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		104154	40717	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		101040	40036	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		99773	39543	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		99715	41295	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		100303	37301	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		101676	36035	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		103314	36304	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		105715	38809	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		104605	44423	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		102448	43069	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		104091	42885	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		105154	42971	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		101296	37961	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		102627	38205	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		83129	61416	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		81469	61062	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		81115	58369	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		78751	58284	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		80037	60282	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		84645	56100	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		81224	51306	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		85457	51713	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		80217	56146	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		82321	59342	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		78431	55724	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		86408	56489	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		80829	53788	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		84692	53574	0	0	191	-1	0	0			1
<i18n=14516>	9226	80		82448	56209	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		104929	142358	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		103616	141888	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		102506	140563	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		101659	138642	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		102329	134137	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		103457	132862	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		105200	132781	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		106532	133581	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		107915	133994	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		106979	141713	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		103715	139626	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		105140	137404	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		105280	140501	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		106883	135485	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		103796	135265	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		107817	89538	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		111638	92002	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		106235	93138	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		106390	90320	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		107369	92097	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		110508	96834	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		111398	94750	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		112595	90439	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		111161	89383	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		112023	96041	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		109021	87240	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		106442	95509	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		112160	87983	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		112572	93593	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		26917	98654	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		25628	98487	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		24572	97671	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		24021	93901	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		25127	94213	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		25978	90666	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		29602	91197	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		30163	92652	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		29965	95336	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		29269	97092	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		27208	92155	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		25937	92577	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		28932	94567	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		27791	90605	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		26955	96595	0	0	191	-1	0	0			1
<i18n=11797>	9228	80		28734	92510	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		85642	127383	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		84489	130414	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		86177	131409	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		87584	131675	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		87860	125306	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		90048	127770	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		87683	129996	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		86136	125225	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		91198	125362	0	0	191	-1	0	0			1
<i18n=1630>	9227	80		91747	129920	0	0	191	-1	0	0			1
