NpcName	ShowName	NpcTemplateId	NpcLevel	LevelSettingKey	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType
<i18n=43521>		13152	1		5552	12506	16315	0	0	191	-1	0	0			
<i18n=42531>		13135	1		5551	25365	29683	0	0	191	-1	0	0			
<i18n=45068>		13162	1			11721	15599	0	0	191	-1	0	0			
		13163	1			14245	14197	0	0	191	-1	0	0			
		13163	1			17183	20045	0	0	191	-1	0	0			
		13163	1			21630	24208	0	0	191	-1	0	0			
		13161	1			30048	26736	0	0	191	-1	0	0			
		13161	1			32725	29241	0	0	191	-1	0	0			
		13163	1			30663	29686	0	0	191	-1	0	0			
		13163	1			26143	34941	0	0	191	-1	0	0			
		13163	1			21565	33481	0	0	191	-1	0	0			
		13163	1			25771	39488	0	0	191	-1	0	0			
		13163	1			29583	38918	0	0	191	-1	0	0			
		13163	1			32747	26215	0	0	191	-1	0	0			
		13163	1			27743	24293	0	0	191	-1	0	0			
		13161	1			13755	18147	0	0	191	-1	0	0			
		13161	1			14503	18079	0	0	191	-1	0	0			
		13161	1			15497	16763	0	0	191	-1	0	0			
		13161	1			15980	16207	0	0	191	-1	0	0			
		13161	1			23307	25201	0	0	191	-1	0	0			
		13161	1			21896	26295	0	0	191	-1	0	0			
		13161	1			27281	28939	0	0	191	-1	0	0			
		13161	1			26861	27438	0	0	191	-1	0	0			
		13161	1			25917	26704	0	0	191	-1	0	0			
		13163	1			29284	31526	0	0	191	-1	0	0			
		13161	1			25547	30787	0	0	191	-1	0	0			
		13161	1			24526	30454	0	0	191	-1	0	0			
		13161	1			23821	29111	0	0	191	-1	0	0			
		13161	1			23689	33254	0	0	191	-1	0	0			
		13161	1			25448	36607	0	0	191	-1	0	0			
