NpcName	ShowName	NpcTemplateId	NpcLevel	LevelSettingKey	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType
<i18n=10677>		13137	1		5551	31583	40970	0	0	191	-1	0	0			
<i18n=43521>		13152	1		5552	17334	27751	0	0	191	-1	0	0			
<i18n=45068>		13162	1			16968	26001	0	0	191	-1	0	0			
		13163	1			16823	23816	0	0	191	-1	0	0			
		13161	1			18096	22781	0	0	191	-1	0	0			
		13161	1			19867	24787	0	0	191	-1	0	0			
		13163	1			23614	26042	0	0	191	-1	0	0			
		13163	1			18734	25378	0	0	191	-1	0	0			
		13163	1			21425	28194	0	0	191	-1	0	0			
		13163	1			19528	30990	0	0	191	-1	0	0			
		13163	1			25003	32014	0	0	191	-1	0	0			
		13163	1			29148	36346	0	0	191	-1	0	0			
		13163	1			33179	34985	0	0	191	-1	0	0			
		13161	1			39556	38406	0	0	191	-1	0	0			
		13163	1			38089	38761	0	0	191	-1	0	0			
		13163	1			41455	42721	0	0	191	-1	0	0			
		13163	1			37081	31963	0	0	191	-1	0	0			
		13163	1			26483	39593	0	0	191	-1	0	0			
		13163	1			24932	44257	0	0	191	-1	0	0			
		13163	1			30198	49901	0	0	191	-1	0	0			
		13161	1			21347	26149	0	0	191	-1	0	0			
		13161	1			19366	27854	0	0	191	-1	0	0			
		13161	1			33575	39737	0	0	191	-1	0	0			
		13161	1			32424	39026	0	0	191	-1	0	0			
		13161	1			30472	40386	0	0	191	-1	0	0			
		13161	1			31982	41655	0	0	191	-1	0	0			
		13161	1			36941	35960	0	0	191	-1	0	0			
		13161	1			28085	44212	0	0	191	-1	0	0			
		13161	1			30608	46804	0	0	191	-1	0	0			
		13163	1			32207	46548	0	0	191	-1	0	0			
