PosX	PosY
7370	18551
8540	17483
7941	24358
9285	24714
10553	21006
11488	19997
12753	20154
12853	21870
13260	23239
14646	22716
9960	27319
14139	24106
12064	25909
10827	28297
11645	29921
12665	32518
13651	33928
14582	34772
15531	34486
16018	23835
16787	25477
17519	27223
18909	28951
19660	30246
18913	31467
17528	35560
19237	33758
24425	23186
8249	40089
7529	38978
9266	37494
10571	36124
11868	34737
19718	26719
21359	25214
22664	23862
25794	25996
26626	27167
27576	28088
17598	32313
18186	33457
16570	33431
9765	42222
10656	43080
11594	43968
22747	37444
20242	39645
18030	37444
20724	35137
